"Kernel Name","hbmv2::hbmXorOnlyKernel(unsigned long, int, int)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Derivative Avg. Predicated-On Threads Executed","Avg. Predicated-On Threads Unexecuted","Divergent Branches","L1 Conflicts Shared N-Way","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7de64b279600","      IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28]","39","36","39","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","9","0","0","0","0","0","0"
"0x7de64b279610","      S2R R5, SR_TID.X","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279620","      IMAD.MOV.U32 R0, RZ, RZ, c[0x0][0x16c]","34","31","34","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279630","      ISETP.GE.AND P0, PT, R0, 0x1, PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279640","      LOP3.LUT R0, R5, 0x12345678, RZ, 0x3c, !PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279650","      LOP3.LUT R3, R5, 0x9abcdef0, RZ, 0x3c, !PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279660","      LOP3.LUT R2, R5, 0x31415926, RZ, 0x3c, !PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279670","      LOP3.LUT R5, R5, 0x27182818, RZ, 0x3c, !PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279680","@!P0  BRA 0x7de64b27a810","0","0","0","6912","221184","0","32","0","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279690","      IMAD.MOV.U32 R6, RZ, RZ, RZ","0","0","0","6912","221184","221184","32","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2796a0","      ISETP.NE.U32.AND P0, PT, RZ, c[0x0][0x160], PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2796b0","      ISETP.NE.AND.EX P0, PT, RZ, c[0x0][0x164], PT, P0","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2796c0","@!P0  BRA 0x7de64b27a7d0","0","0","0","6912","221184","0","32","0","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2796d0","      IMAD.MOV.U32 R7, RZ, RZ, RZ","0","0","0","6912","221184","221184","32","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2796e0","      IMAD.MOV.U32 R4, RZ, RZ, RZ","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2796f0","      LOP3.LUT R0, R0, R3, R2, 0x96, !PT","4","3","4","13824","442368","442368","32","32","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"0x7de64b279700","      IMAD.MOV.U32 R8, RZ, RZ, c[0x0][0x168]","2","2","2","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"0x7de64b279710","      LOP3.LUT R3, R3, R2, R5, 0x96, !PT","3","0","3","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279720","      LOP3.LUT R2, R2, R5, R0, 0x96, !PT","1","1","1","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7de64b279730","      LOP3.LUT R5, R5, R0, R3, 0x96, !PT","0","0","0","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279740","      LOP3.LUT R0, R0, R3, R2, 0x96, !PT","1","1","1","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7de64b279750","      LOP3.LUT R3, R3, R2, R5, 0x96, !PT","5","2","5","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279760","      LOP3.LUT R2, R2, R5, R0, 0x96, !PT","0","0","0","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279770","      LOP3.LUT R5, R5, R0, R3, 0x96, !PT","2","2","2","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0x7de64b279780","      LOP3.LUT R0, R0, R3, R2, 0x96, !PT","1","1","1","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7de64b279790","      LOP3.LUT R3, R3, R2, R5, 0x96, !PT","1","1","1","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7de64b2797a0","      LOP3.LUT R2, R2, R5, R0, 0x96, !PT","0","0","0","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2797b0","      LOP3.LUT R5, R5, R0, R3, 0x96, !PT","3","1","3","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7de64b2797c0","      LOP3.LUT R0, R0, R3, R2, 0x96, !PT","0","0","0","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2797d0","      LOP3.LUT R3, R3, R2, R5, 0x96, !PT","0","0","0","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b2797e0","      LOP3.LUT R2, R2, R5, R0, 0x96, !PT","1","1","1","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7de64b2797f0","      LOP3.LUT R5, R5, R0, R3, 0x96, !PT","1","0","1","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279800","      LOP3.LUT R0, R0, R3, R2, 0x96, !PT","1","1","1","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7de64b279810","      LOP3.LUT R3, R3, R2, R5, 0x96, !PT","9","5","9","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279820","      LOP3.LUT R2, R2, R5, R0, 0x96, !PT","0","0","0","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279830","      LOP3.LUT R5, R5, R0, R3, 0x96, !PT","2","1","2","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7de64b279840","      LOP3.LUT R0, R0, R3, R2, 0x96, !PT","0","0","0","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7de64b279850","      LOP3.LUT R3, R3, R2, R5, 0x96, !PT","1","0","1","13824","442368","442368","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
