sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.010846387,239.387000000,100,1395,1215,40,4
1,0.010851707,239.387000000,100,1395,1215,40,4
2,0.020228126,239.387000000,100,1395,1215,40,4
3,0.030225510,239.387000000,100,1395,1215,40,4
4,0.040226230,239.387000000,100,1395,1215,40,4
5,0.050224575,239.387000000,100,1395,1215,40,4
6,0.060225736,183.564000000,100,1395,1215,40,4
7,0.070229733,183.564000000,100,1395,1215,40,0
8,0.080226926,183.564000000,100,1395,1215,40,0
9,0.090225763,183.564000000,100,1395,1215,40,0
10,0.100225471,183.564000000,100,1395,1215,40,0
11,0.110225239,183.564000000,100,1395,1215,40,0
12,0.120225789,183.564000000,100,1395,1215,40,0
13,0.130228964,183.564000000,100,1395,1215,40,0
14,0.140225556,183.564000000,100,1395,1215,40,0
15,0.150224743,183.564000000,100,1395,1215,40,0
16,0.160226986,251.422000000,100,1410,1215,40,0
17,0.170225322,251.422000000,100,1410,1215,40,0
18,0.180226072,251.422000000,100,1410,1215,40,0
19,0.190225510,251.422000000,100,1410,1215,40,0
20,0.200225609,251.422000000,100,1410,1215,40,0
21,0.210224636,251.422000000,100,1410,1215,40,0
22,0.220224895,251.422000000,100,1410,1215,40,0
23,0.230225214,251.422000000,100,1410,1215,40,0
24,0.240225604,251.422000000,100,1410,1215,40,0
25,0.250225693,251.422000000,100,1410,1215,40,0
26,0.260226874,253.766000000,100,1410,1215,40,0
27,0.270225890,253.766000000,96,1410,1215,40,0
28,0.280226470,253.766000000,96,1410,1215,40,0
29,0.290227321,253.766000000,96,1410,1215,40,0
30,0.300225436,253.766000000,96,1410,1215,40,0
31,0.310225986,253.766000000,96,1410,1215,40,0
32,0.320226185,253.766000000,96,1410,1215,40,0
33,0.330226755,253.766000000,96,1410,1215,40,0
34,0.340225411,253.766000000,96,1410,1215,40,0
35,0.350225450,253.766000000,96,1410,1215,40,0
36,0.360225950,252.486000000,96,1410,1215,40,0
37,0.370226900,252.486000000,96,1410,1215,40,0
38,0.380224665,252.486000000,96,1410,1215,40,0
39,0.390227138,252.486000000,96,1410,1215,40,0
40,0.400226255,252.486000000,96,1410,1215,40,0
41,0.410225583,252.486000000,96,1410,1215,40,0
42,0.420225171,252.486000000,96,1410,1215,40,0
43,0.430227584,252.486000000,96,1410,1215,40,0
44,0.440224827,252.486000000,96,1410,1215,40,0
45,0.450228012,252.486000000,96,1410,1215,40,0
46,0.460226869,244.011000000,96,1410,1215,40,0
47,0.470225776,244.011000000,100,1410,1215,40,0
48,0.480224852,244.011000000,100,1410,1215,40,0
49,0.490226825,244.011000000,100,1410,1215,40,0
50,0.500225371,244.011000000,100,1410,1215,40,0
51,0.510224779,244.011000000,100,1410,1215,40,0
52,0.520225248,244.011000000,100,1410,1215,40,0
53,0.530226239,244.011000000,100,1410,1215,40,0
54,0.540227961,244.011000000,100,1410,1215,40,0
55,0.550225605,244.011000000,100,1410,1215,40,0
56,0.560226476,253.391000000,100,1410,1215,40,0
57,0.570227647,253.391000000,100,1410,1215,40,0
58,0.580225191,253.391000000,100,1410,1215,40,0
59,0.590226131,253.391000000,100,1410,1215,40,0
60,0.600225439,253.391000000,100,1410,1215,40,0
61,0.610225047,253.391000000,100,1410,1215,40,0
62,0.620225066,253.391000000,100,1410,1215,40,0
63,0.630226407,253.391000000,100,1410,1215,40,0
64,0.640226847,253.391000000,100,1410,1215,40,0
65,0.650226825,253.391000000,100,1410,1215,40,0
66,0.660225722,253.669000000,100,1410,1215,40,0
67,0.670225130,253.669000000,100,1410,1215,40,0
68,0.680224868,253.669000000,100,1410,1215,40,0
69,0.690225818,253.669000000,100,1410,1215,40,0
70,0.700226008,253.669000000,100,1410,1215,40,0
71,0.710225816,253.669000000,100,1410,1215,40,0
72,0.720225214,253.669000000,100,1410,1215,40,0
73,0.730225002,253.669000000,100,1410,1215,40,0
74,0.740225161,253.669000000,100,1410,1215,40,0
75,0.750224969,253.669000000,100,1410,1215,40,0
76,0.760230288,253.539000000,100,1410,1215,40,0
77,0.770226991,253.539000000,100,1410,1215,40,0
78,0.780225056,253.539000000,100,1410,1215,40,0
79,0.790227339,253.539000000,100,1410,1215,40,0
80,0.800343285,253.539000000,100,1410,1215,40,0
81,0.810225433,253.539000000,100,1410,1215,40,0
82,0.820226704,253.539000000,100,1410,1215,40,0
83,0.830223657,253.539000000,100,1410,1215,40,0
84,0.840225329,253.539000000,100,1410,1215,40,0
85,0.850225378,253.539000000,100,1410,1215,40,0
86,0.860226088,249.269000000,100,1395,1215,40,0
87,0.870225495,249.269000000,100,1395,1215,40,4
88,0.880229742,249.269000000,100,1395,1215,40,4
89,0.890227276,249.269000000,100,1395,1215,40,4
90,0.900232655,249.269000000,100,1395,1215,40,4
91,0.910226833,249.269000000,100,1395,1215,40,4
92,0.920225650,249.269000000,100,1395,1215,40,4
93,0.930225779,249.269000000,100,1395,1215,40,4
94,0.940224475,249.269000000,100,1395,1215,40,4
95,0.950226337,249.269000000,100,1395,1215,40,4
96,0.960224532,242.763000000,100,1365,1215,40,4
97,0.970226625,242.763000000,100,1365,1215,40,4
98,0.980224550,242.763000000,100,1365,1215,40,4
