metric,value,unit,method
method,fixed graph work; r2-r1 energy difference,,P_const/P_static subtracted per actual duration
sass_count_scale,1.0,scale,applied to raw instruction counts before attribution
xor_delta_lop3_count,14412844892160.0,warp LOP3,xor-only r2-r1
load_delta_ldg_count,175305129984.0,warp LDG,load-xor r2-r1
load_delta_lop3_count,87652564992.0,warp LOP3,load-xor r2-r1
lop3_per_added_ldg,0.5,warp LOP3/warp LDG,load-xor r2-r1; NCU-verified 0.5 for the retained load-xor kernel
lop3_energy_board,744.8033002846131,pJ/warp LOP3,raw board-energy delta
hbm_ldg_e128_energy_board,84714.48032165674,pJ/warp LDG.E.128,raw board-energy delta
hbm_ldg_e128_energy_board,20.682246172279477,pJ/logical bit,512 B per warp LDG.E.128
lop3_energy_after_const,637.6813273056467,pJ/warp LOP3,r2-r1 after P_const
hbm_ldg_e128_energy_after_const,73481.18059230986,pJ/warp LDG.E.128,load delta minus 0.5 × LOP3
hbm_ldg_e128_energy_after_const,17.9397413555444,pJ/logical bit,512 B per warp LDG.E.128
lop3_energy_after_const_static,528.376252378215,pJ/warp LOP3,r2-r1 after P_const + P_static
hbm_ldg_e128_energy_after_const_static,62018.95081392936,pJ/warp LDG.E.128,load delta minus 0.5 × LOP3
hbm_ldg_e128_energy_after_const_static,15.141345413556973,pJ/logical bit,512 B per warp LDG.E.128
xor-only_r1_board_power,218.17803567099998,W,mean across repetitions
xor-only_r1_throttle,0.0,%,NVML samples
xor-only_r1_sm_clock,1410.0,MHz,NVML samples
xor-only_r1_mem_clock,1215.0,MHz,NVML samples
xor-only_r2_board_power,223.36089288699998,W,mean across repetitions
xor-only_r2_throttle,0.0,%,NVML samples
xor-only_r2_sm_clock,1410.0,MHz,NVML samples
xor-only_r2_mem_clock,1215.0,MHz,NVML samples
load-xor_r1_board_power,249.3140440025,W,mean across repetitions
load-xor_r1_throttle,100.0,%,NVML samples
load-xor_r1_sm_clock,1359.3832911734999,MHz,NVML samples
load-xor_r1_mem_clock,1215.0,MHz,NVML samples
load-xor_r2_board_power,249.3609666455,W,mean across repetitions
load-xor_r2_throttle,100.0,%,NVML samples
load-xor_r2_sm_clock,1350.1702838065,MHz,NVML samples
load-xor_r2_mem_clock,1215.0,MHz,NVML samples
