sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.004706506,228.100000000,100,1305,1215,35,4
1,0.010193052,228.100000000,100,1305,1215,35,4
2,0.020194446,228.100000000,100,1305,1215,35,4
3,0.030191471,228.100000000,100,1305,1215,35,4
4,0.040192304,242.794000000,100,1305,1215,35,4
5,0.050191974,242.794000000,100,1305,1215,35,4
6,0.060190152,242.794000000,100,1305,1215,35,4
7,0.070190343,242.794000000,100,1305,1215,35,4
8,0.080189673,242.794000000,100,1305,1215,35,4
9,0.090190726,242.794000000,100,1305,1215,35,4
10,0.100189856,242.794000000,100,1305,1215,35,4
11,0.110190899,242.794000000,100,1305,1215,35,4
12,0.120190379,242.794000000,100,1305,1215,35,4
13,0.130190590,242.794000000,100,1305,1215,35,4
14,0.140191293,255.166000000,100,1395,1215,35,4
15,0.150191995,255.166000000,100,1395,1215,36,4
16,0.160190844,255.166000000,100,1395,1215,36,4
17,0.170190895,255.166000000,100,1395,1215,36,4
18,0.180190776,255.166000000,100,1395,1215,36,4
19,0.190191067,255.166000000,100,1395,1215,36,4
20,0.200190497,255.166000000,100,1395,1215,36,4
21,0.210190258,255.166000000,100,1395,1215,36,4
22,0.220191642,255.166000000,100,1395,1215,36,4
23,0.230190931,255.166000000,100,1395,1215,36,4
24,0.240191023,246.771000000,100,1395,1215,36,4
25,0.250192246,246.771000000,97,1395,1215,36,4
26,0.260190694,246.771000000,97,1395,1215,36,4
27,0.270191236,246.771000000,97,1395,1215,36,4
28,0.280190506,246.771000000,97,1395,1215,36,4
29,0.290191289,246.771000000,97,1395,1215,36,4
30,0.300191119,246.771000000,97,1395,1215,36,4
31,0.310191090,246.771000000,97,1395,1215,36,4
32,0.320190340,246.771000000,97,1395,1215,36,4
33,0.330190772,246.771000000,97,1395,1215,36,4
34,0.340192015,256.099000000,97,1395,1215,36,4
35,0.350192177,256.099000000,97,1395,1215,36,4
36,0.360191717,256.099000000,97,1395,1215,36,4
37,0.370191247,256.099000000,97,1395,1215,36,4
38,0.380190186,256.099000000,97,1395,1215,36,4
39,0.390190618,256.099000000,97,1395,1215,36,4
40,0.400189808,256.099000000,97,1395,1215,36,4
41,0.410190951,256.099000000,97,1395,1215,36,4
42,0.420190231,256.099000000,97,1395,1215,36,4
43,0.430191975,256.099000000,97,1395,1215,36,4
44,0.440196745,256.511000000,97,1395,1215,36,4
45,0.450192107,256.511000000,100,1395,1215,36,4
46,0.460190906,256.511000000,100,1395,1215,36,4
47,0.470190827,256.511000000,100,1395,1215,36,4
48,0.480195326,256.511000000,100,1395,1215,36,4
49,0.490191540,256.511000000,100,1395,1215,36,4
50,0.500194647,256.511000000,100,1395,1215,36,4
51,0.510194408,256.511000000,100,1395,1215,36,4
52,0.520189129,256.511000000,100,1395,1215,36,4
53,0.530193909,256.511000000,100,1395,1215,36,4
54,0.540192347,253.882000000,100,1395,1215,36,4
55,0.550191898,253.882000000,100,1395,1215,36,4
56,0.560191207,253.882000000,100,1395,1215,36,4
57,0.570189716,253.882000000,100,1395,1215,36,4
58,0.580189867,253.882000000,100,1395,1215,36,4
59,0.590190489,253.882000000,100,1395,1215,36,4
60,0.600190350,253.882000000,100,1395,1215,36,4
61,0.610190652,253.882000000,100,1395,1215,36,4
62,0.620190202,253.882000000,100,1395,1215,36,4
63,0.630190854,253.882000000,100,1395,1215,36,4
64,0.640191437,252.794000000,100,1395,1215,36,4
65,0.650191989,252.794000000,100,1395,1215,36,4
66,0.660190617,252.794000000,100,1395,1215,36,4
67,0.670190698,252.794000000,100,1395,1215,36,4
68,0.680191080,252.794000000,100,1395,1215,36,4
69,0.690191071,252.794000000,100,1395,1215,36,4
70,0.700192024,252.794000000,100,1395,1215,36,4
71,0.710190623,252.794000000,100,1395,1215,36,4
72,0.720192057,252.794000000,100,1395,1215,36,4
73,0.730191036,252.794000000,100,1395,1215,36,4
74,0.740191558,252.794000000,100,1365,1215,36,4
75,0.750192190,255.800000000,100,1365,1215,36,4
76,0.760190598,255.800000000,100,1365,1215,36,4
77,0.770190689,255.800000000,100,1365,1215,36,4
78,0.780192564,255.800000000,100,1365,1215,36,4
79,0.790190541,255.800000000,100,1365,1215,36,4
80,0.800191184,255.800000000,100,1365,1215,36,4
81,0.810192377,255.800000000,100,1365,1215,36,4
82,0.820189493,255.800000000,100,1365,1215,36,4
83,0.830191077,255.800000000,100,1365,1215,36,4
84,0.840190787,255.800000000,100,1350,1215,36,4
85,0.850201238,245.582000000,100,1350,1215,36,4
86,0.860193505,245.582000000,100,1350,1215,36,4
87,0.870192394,245.582000000,100,1350,1215,36,4
88,0.880192154,245.582000000,100,1350,1215,36,4
89,0.890195081,245.582000000,100,1350,1215,36,4
90,0.900191134,245.582000000,100,1350,1215,36,4
91,0.910189482,245.582000000,100,1350,1215,36,4
92,0.920190195,245.582000000,100,1350,1215,36,4
93,0.930192360,245.582000000,100,1350,1215,36,4
94,0.940190888,245.582000000,100,1335,1215,36,4
95,0.950193434,235.586000000,100,1335,1215,36,4
96,0.960192023,235.586000000,100,1335,1215,36,4
97,0.970191322,235.586000000,100,1335,1215,36,4
98,0.980190923,235.586000000,100,1335,1215,36,4
