sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.001584224,216.967000000,100,1410,1215,36,0
1,0.010224000,216.967000000,100,1410,1215,36,0
2,0.020220395,216.967000000,100,1410,1215,36,0
3,0.030218953,216.967000000,100,1410,1215,36,0
4,0.040222230,216.215000000,100,1410,1215,36,0
5,0.050218945,216.215000000,100,1410,1215,36,0
6,0.060219727,216.215000000,100,1410,1215,36,0
7,0.070218907,216.215000000,100,1410,1215,36,0
8,0.080219870,216.215000000,100,1410,1215,36,0
9,0.090219811,216.215000000,100,1410,1215,36,0
10,0.100218930,216.215000000,100,1410,1215,36,0
11,0.110220043,216.215000000,100,1410,1215,36,0
12,0.120221597,216.215000000,100,1410,1215,36,0
13,0.130219594,216.215000000,100,1410,1215,36,0
14,0.140220407,212.232000000,97,1410,1215,37,0
15,0.150220067,212.232000000,97,1410,1215,37,0
16,0.160219357,212.232000000,97,1410,1215,37,0
17,0.170219258,212.232000000,97,1410,1215,37,0
18,0.180219159,212.232000000,97,1410,1215,37,0
19,0.190219711,212.232000000,97,1410,1215,37,0
20,0.200218860,212.232000000,97,1410,1215,37,0
21,0.210219212,212.232000000,97,1410,1215,37,0
22,0.220219183,212.232000000,97,1410,1215,37,0
23,0.230218683,212.232000000,97,1410,1215,37,0
24,0.240221219,209.925000000,97,1410,1215,37,0
25,0.250218895,209.925000000,97,1410,1215,37,0
26,0.260220139,209.925000000,97,1410,1215,37,0
27,0.270219138,209.925000000,97,1410,1215,37,0
28,0.280219399,209.925000000,97,1410,1215,37,0
29,0.290219110,209.925000000,97,1410,1215,37,0
30,0.300218880,209.925000000,97,1410,1215,37,0
31,0.310219202,209.925000000,97,1410,1215,37,0
32,0.320221497,209.925000000,97,1410,1215,37,0
33,0.330218913,209.925000000,97,1410,1215,37,0
34,0.340220267,205.406000000,100,1410,1215,37,0
35,0.350219236,205.406000000,100,1410,1215,37,0
36,0.360219367,205.406000000,100,1410,1215,37,0
37,0.370219238,205.406000000,100,1410,1215,37,0
38,0.380219430,205.406000000,100,1410,1215,37,0
39,0.390219931,205.406000000,100,1410,1215,37,0
40,0.400219231,205.406000000,100,1410,1215,37,0
41,0.410219463,205.406000000,100,1410,1215,37,0
42,0.420223762,205.406000000,100,1410,1215,37,0
43,0.430220607,205.406000000,100,1410,1215,37,0
44,0.440221790,201.941000000,100,1410,1215,37,0
45,0.450227462,201.941000000,100,1410,1215,37,0
46,0.460220921,201.941000000,100,1410,1215,37,0
47,0.470219940,201.941000000,100,1410,1215,37,0
48,0.480220893,201.941000000,100,1410,1215,37,0
49,0.490219822,201.941000000,100,1410,1215,37,0
50,0.500218731,201.941000000,100,1410,1215,37,0
51,0.510219543,201.941000000,100,1410,1215,37,0
52,0.520221708,201.941000000,100,1410,1215,37,0
53,0.530218724,201.941000000,100,1410,1215,37,0
54,0.540219987,210.737000000,100,1410,1215,37,0
55,0.550218445,210.737000000,100,1410,1215,37,0
56,0.560219929,210.737000000,100,1410,1215,37,0
57,0.570219179,210.737000000,100,1410,1215,37,0
58,0.580218909,210.737000000,100,1410,1215,37,0
59,0.590219501,210.737000000,100,1410,1215,37,0
60,0.600219713,210.737000000,100,1410,1215,37,0
61,0.610219153,210.737000000,100,1410,1215,37,0
62,0.620220035,210.737000000,100,1410,1215,37,0
63,0.630218994,210.737000000,100,1410,1215,37,0
64,0.640220649,217.296000000,100,1410,1215,37,0
65,0.650219447,217.296000000,100,1410,1215,37,0
66,0.660219679,217.296000000,100,1410,1215,37,0
67,0.670219610,217.296000000,100,1410,1215,37,0
68,0.680220042,217.296000000,100,1410,1215,37,0
69,0.690220764,217.296000000,100,1410,1215,37,0
70,0.700220104,217.296000000,100,1410,1215,37,0
71,0.710219484,217.296000000,100,1410,1215,37,0
72,0.720220977,217.296000000,100,1410,1215,37,0
73,0.730219816,217.296000000,100,1410,1215,37,0
74,0.740220308,218.656000000,100,1410,1215,37,0
75,0.750220129,218.656000000,100,1410,1215,37,0
76,0.760222514,218.656000000,100,1410,1215,37,0
77,0.770218678,218.656000000,100,1410,1215,37,0
78,0.780219841,218.656000000,100,1410,1215,37,0
79,0.790220103,218.656000000,100,1410,1215,37,0
80,0.800222548,218.656000000,100,1410,1215,37,0
81,0.810219794,218.656000000,100,1410,1215,37,0
82,0.820358986,218.656000000,100,1410,1215,37,0
83,0.830220097,218.656000000,100,1410,1215,37,0
84,0.840220308,219.270000000,100,1410,1215,37,0
85,0.850219177,219.270000000,100,1410,1215,37,0
86,0.860219659,219.270000000,100,1410,1215,37,0
87,0.870218799,219.270000000,100,1410,1215,37,0
88,0.880219080,219.270000000,100,1410,1215,37,0
89,0.890218991,219.270000000,100,1410,1215,37,0
90,0.900219693,219.270000000,100,1410,1215,37,0
91,0.910223922,219.270000000,100,1410,1215,37,0
92,0.920223613,219.270000000,100,1410,1215,37,0
93,0.930217813,219.270000000,100,1410,1215,37,0
94,0.940219357,218.792000000,100,1410,1215,38,0
95,0.950219598,218.792000000,100,1410,1215,38,0
96,0.960219559,218.792000000,100,1410,1215,38,0
97,0.970220382,218.792000000,100,1410,1215,38,0
98,0.980219972,218.792000000,100,1410,1215,38,0
99,0.990220534,218.792000000,100,1410,1215,38,0
