sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.003951554,214.721000000,100,1410,1215,50,0
1,0.010248851,214.721000000,100,1410,1215,50,0
2,0.020249144,214.721000000,100,1410,1215,50,0
3,0.030249538,214.721000000,100,1410,1215,50,0
4,0.040249681,214.721000000,100,1410,1215,50,0
5,0.050248912,214.721000000,100,1410,1215,50,0
6,0.060248655,214.721000000,100,1410,1215,50,0
7,0.070249790,214.721000000,100,1410,1215,50,0
8,0.080250153,214.721000000,100,1410,1215,50,0
9,0.090248923,214.721000000,100,1410,1215,50,0
10,0.100248916,149.573000000,100,1410,1215,50,0
11,0.110251113,149.573000000,100,1410,1215,50,0
12,0.120249202,149.573000000,100,1410,1215,50,0
13,0.130250117,149.573000000,100,1410,1215,50,0
14,0.140248937,149.573000000,100,1410,1215,50,0
15,0.150251385,149.573000000,100,1410,1215,50,0
16,0.160249734,149.573000000,100,1410,1215,50,0
17,0.170248625,149.573000000,100,1410,1215,50,0
18,0.180254098,149.573000000,100,1410,1215,50,0
19,0.190253129,149.573000000,100,1410,1215,50,0
20,0.200249805,219.906000000,95,1410,1215,50,0
21,0.210248786,219.906000000,95,1410,1215,50,0
22,0.220248639,219.906000000,95,1410,1215,50,0
23,0.230248451,219.906000000,95,1410,1215,50,0
24,0.240248133,219.906000000,95,1410,1215,50,0
25,0.250248968,219.906000000,95,1410,1215,50,0
26,0.260248229,219.906000000,95,1410,1215,50,0
27,0.270248542,219.906000000,95,1410,1215,50,0
28,0.280248866,219.906000000,95,1410,1215,50,0
29,0.290249940,219.906000000,95,1410,1215,50,0
30,0.300250264,220.739000000,95,1410,1215,50,0
31,0.310248664,220.739000000,95,1410,1215,50,0
32,0.320248937,220.739000000,95,1410,1215,50,0
33,0.330248729,220.739000000,95,1410,1215,50,0
34,0.340248421,220.739000000,95,1410,1215,50,0
35,0.350248795,220.739000000,95,1410,1215,50,0
36,0.360249359,220.739000000,95,1410,1215,50,0
37,0.370248540,220.739000000,95,1410,1215,50,0
38,0.380248773,220.739000000,95,1410,1215,50,0
39,0.390248836,220.739000000,95,1410,1215,50,0
40,0.400250312,221.614000000,100,1410,1215,50,0
41,0.410248631,221.614000000,100,1410,1215,50,0
42,0.420248824,221.614000000,100,1410,1215,50,0
43,0.430248837,221.614000000,100,1410,1215,50,0
44,0.440248689,221.614000000,100,1410,1215,50,0
45,0.450249213,221.614000000,100,1410,1215,50,0
46,0.460249056,221.614000000,100,1410,1215,50,0
47,0.470253016,221.614000000,100,1410,1215,50,0
48,0.480249402,221.614000000,100,1410,1215,50,0
49,0.490249916,221.614000000,100,1410,1215,50,0
50,0.500249608,221.770000000,100,1410,1215,50,0
51,0.510250652,221.770000000,100,1410,1215,50,0
