sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.004729157,209.012000000,100,1410,1215,36,0
1,0.010277830,209.012000000,100,1410,1215,36,0
2,0.020275404,217.776000000,100,1410,1215,36,0
3,0.030278218,217.776000000,100,1410,1215,35,0
4,0.040277185,217.776000000,100,1410,1215,35,0
5,0.050277264,217.776000000,100,1410,1215,35,0
6,0.060277283,217.776000000,100,1410,1215,35,0
7,0.070277242,217.776000000,100,1410,1215,35,0
8,0.080276439,217.776000000,100,1410,1215,35,0
9,0.090277230,217.776000000,100,1410,1215,35,0
10,0.100276808,217.776000000,100,1410,1215,35,0
11,0.110276737,217.776000000,100,1410,1215,35,0
12,0.120277216,204.688000000,100,1410,1215,35,0
13,0.130276744,204.688000000,100,1410,1215,36,0
14,0.140278567,204.688000000,100,1410,1215,36,0
15,0.150278004,204.688000000,100,1410,1215,36,0
16,0.160277222,204.688000000,100,1410,1215,36,0
17,0.170276489,204.688000000,100,1410,1215,36,0
18,0.180278642,204.688000000,100,1410,1215,36,0
19,0.190276357,204.688000000,100,1410,1215,36,0
20,0.200277107,204.688000000,100,1410,1215,36,0
21,0.210276324,204.688000000,100,1410,1215,36,0
22,0.220276704,218.215000000,100,1410,1215,36,0
23,0.230276953,218.215000000,95,1410,1215,36,0
24,0.240275980,218.215000000,95,1410,1215,36,0
25,0.250276911,218.215000000,95,1410,1215,36,0
26,0.260276569,218.215000000,95,1410,1215,36,0
27,0.270275937,218.215000000,95,1410,1215,36,0
28,0.280275996,218.215000000,95,1410,1215,36,0
29,0.290277648,218.215000000,95,1410,1215,36,0
30,0.300277126,218.215000000,95,1410,1215,36,0
31,0.310277846,218.215000000,95,1410,1215,36,0
32,0.320277094,209.032000000,95,1410,1215,36,0
33,0.330277453,209.032000000,95,1410,1215,36,0
34,0.340276700,209.032000000,95,1410,1215,36,0
35,0.350277090,209.032000000,95,1410,1215,36,0
36,0.360276598,209.032000000,95,1410,1215,36,0
37,0.370277909,209.032000000,95,1410,1215,36,0
38,0.380277036,209.032000000,95,1410,1215,36,0
39,0.390291523,209.032000000,95,1410,1215,36,0
40,0.400282014,209.032000000,95,1410,1215,36,0
41,0.410274719,209.032000000,95,1410,1215,36,0
42,0.420275229,218.357000000,95,1410,1215,36,0
43,0.430275568,218.357000000,100,1410,1215,36,0
44,0.440274575,218.357000000,100,1410,1215,36,0
45,0.450277089,218.357000000,100,1410,1215,36,0
46,0.460276917,218.357000000,100,1410,1215,36,0
47,0.470276245,218.357000000,100,1410,1215,36,0
48,0.480281604,218.357000000,100,1410,1215,36,0
49,0.490276814,218.357000000,100,1410,1215,36,0
50,0.500276863,218.357000000,100,1410,1215,36,0
51,0.510278775,218.357000000,100,1410,1215,36,0
52,0.520278503,215.230000000,100,1410,1215,36,0
53,0.530277480,215.230000000,100,1410,1215,36,0
54,0.540276838,215.230000000,100,1410,1215,36,0
55,0.550276977,215.230000000,100,1410,1215,36,0
56,0.560276084,215.230000000,100,1410,1215,36,0
57,0.570277656,215.230000000,100,1410,1215,36,0
58,0.580276382,215.230000000,100,1410,1215,36,0
59,0.590276952,215.230000000,100,1410,1215,36,0
60,0.600276250,215.230000000,100,1410,1215,36,0
61,0.610276559,215.230000000,100,1410,1215,36,0
62,0.620276889,213.724000000,100,1410,1215,36,0
63,0.630277038,213.724000000,100,1410,1215,36,0
64,0.640276245,213.724000000,100,1410,1215,36,0
65,0.650276805,213.724000000,100,1410,1215,36,0
66,0.660278107,213.724000000,100,1410,1215,36,0
67,0.670276853,213.724000000,100,1410,1215,36,0
68,0.680276822,213.724000000,100,1410,1215,36,0
69,0.690276400,213.724000000,100,1410,1215,36,0
70,0.700276769,213.724000000,100,1410,1215,36,0
71,0.710276708,213.724000000,100,1410,1215,36,0
72,0.720277188,213.724000000,100,1410,1215,36,0
73,0.730276836,217.891000000,100,1410,1215,36,0
74,0.740276494,217.891000000,100,1410,1215,36,0
75,0.750276623,217.891000000,100,1410,1215,36,0
76,0.760276151,217.891000000,100,1410,1215,36,0
77,0.770276551,217.891000000,100,1410,1215,36,0
78,0.780276349,217.891000000,100,1410,1215,36,0
79,0.790277821,217.891000000,100,1410,1215,36,0
80,0.800277700,217.891000000,100,1410,1215,36,0
81,0.810277388,217.891000000,100,1410,1215,36,0
82,0.820278539,217.891000000,100,1410,1215,36,0
83,0.830278538,206.008000000,100,1410,1215,36,0
84,0.840277916,206.008000000,100,1410,1215,36,0
85,0.850278145,206.008000000,100,1410,1215,36,0
86,0.860278124,206.008000000,100,1410,1215,36,0
87,0.870277662,206.008000000,100,1410,1215,36,0
88,0.880276719,206.008000000,100,1410,1215,36,0
89,0.890277289,206.008000000,100,1410,1215,36,0
90,0.900277839,206.008000000,100,1410,1215,36,0
91,0.910276375,206.008000000,100,1410,1215,36,0
92,0.920276704,206.008000000,100,1410,1215,36,0
93,0.930276563,218.466000000,100,1410,1215,36,0
94,0.940276221,218.466000000,100,1410,1215,36,0
95,0.950276751,218.466000000,100,1410,1215,36,0
96,0.960276138,218.466000000,100,1410,1215,36,0
97,0.970276338,218.466000000,100,1410,1215,36,0
98,0.980277408,218.466000000,100,1410,1215,36,0
99,0.990276295,218.466000000,100,1410,1215,36,0
100,1.000281294,218.466000000,100,1410,1215,36,0
101,1.010278918,218.466000000,100,1410,1215,36,0
