sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.002271508,250.469000000,100,1335,1215,48,4
1,0.010198688,250.469000000,100,1335,1215,48,4
2,0.020208572,250.469000000,100,1335,1215,48,4
3,0.030207917,250.469000000,100,1335,1215,48,4
4,0.040208254,250.469000000,100,1335,1215,48,4
5,0.050207518,250.469000000,100,1335,1215,48,4
6,0.060207674,250.469000000,100,1335,1215,48,4
7,0.070207761,234.140000000,100,1335,1215,48,4
8,0.080208748,234.140000000,100,1335,1215,48,4
9,0.090207392,234.140000000,100,1335,1215,48,4
10,0.100207909,234.140000000,100,1335,1215,48,4
11,0.110208035,234.140000000,100,1335,1215,48,4
12,0.120208622,234.140000000,100,1335,1215,48,4
13,0.130208557,234.140000000,100,1335,1215,48,4
14,0.140208173,234.140000000,100,1335,1215,48,4
15,0.150209431,234.140000000,100,1335,1215,48,4
16,0.160208675,234.140000000,100,1335,1215,48,4
17,0.170209162,234.140000000,100,1335,1215,48,4
18,0.180208858,251.328000000,100,1335,1215,48,4
19,0.190209214,251.328000000,100,1335,1215,48,4
20,0.200207747,251.328000000,100,1335,1215,48,4
21,0.210208735,251.328000000,100,1335,1215,48,4
22,0.220207889,251.328000000,100,1335,1215,48,4
23,0.230208136,251.328000000,100,1335,1215,48,4
24,0.240208573,251.328000000,100,1335,1215,48,4
25,0.250208288,251.328000000,100,1335,1215,48,4
26,0.260208594,251.328000000,100,1335,1215,48,4
27,0.270208771,251.328000000,100,1335,1215,48,4
28,0.280208596,252.014000000,100,1335,1215,48,4
29,0.290208472,252.014000000,95,1335,1215,48,4
30,0.300208438,252.014000000,95,1335,1215,48,4
31,0.310208173,252.014000000,95,1335,1215,48,4
32,0.320208339,252.014000000,95,1335,1215,48,4
33,0.330208786,252.014000000,95,1335,1215,48,4
34,0.340208622,252.014000000,95,1335,1215,48,4
35,0.350208167,252.014000000,95,1335,1215,48,4
36,0.360208473,252.014000000,95,1335,1215,48,4
37,0.370209040,251.601000000,95,1335,1215,48,4
38,0.380208996,251.601000000,95,1335,1215,48,4
39,0.390209252,251.601000000,95,1335,1215,48,4
40,0.400207936,251.601000000,95,1335,1215,48,4
41,0.410207721,251.601000000,95,1335,1215,48,4
42,0.420208178,251.601000000,95,1335,1215,48,4
43,0.430208274,251.601000000,95,1335,1215,48,4
44,0.440208520,251.601000000,95,1335,1215,48,4
45,0.450213966,251.601000000,95,1335,1215,48,4
46,0.460208743,251.601000000,95,1335,1215,48,4
47,0.470208728,251.601000000,95,1335,1215,48,4
48,0.480209726,243.235000000,100,1335,1215,48,4
49,0.490207798,243.235000000,100,1335,1215,48,4
50,0.500213555,243.235000000,100,1335,1215,48,4
51,0.510208852,243.235000000,100,1335,1215,48,4
52,0.520208017,243.235000000,100,1335,1215,48,4
53,0.530207221,243.235000000,100,1335,1215,48,4
54,0.540210293,243.235000000,100,1335,1215,48,4
55,0.550207634,243.235000000,100,1335,1215,48,4
56,0.560207459,243.235000000,100,1335,1215,48,4
57,0.570207696,243.235000000,100,1335,1215,48,4
58,0.580208503,245.878000000,100,1335,1215,49,4
59,0.590207567,245.878000000,100,1335,1215,49,4
60,0.600207563,245.878000000,100,1335,1215,49,4
61,0.610207609,245.878000000,100,1335,1215,49,4
62,0.620207855,245.878000000,100,1335,1215,49,4
63,0.630207761,245.878000000,100,1335,1215,49,4
64,0.640208619,245.878000000,100,1335,1215,49,4
65,0.650208264,245.878000000,100,1335,1215,49,4
66,0.660208450,245.878000000,100,1335,1215,49,4
67,0.670208576,245.878000000,100,1320,1215,49,4
68,0.680209454,253.659000000,100,1320,1215,49,4
69,0.690208318,253.659000000,100,1320,1215,49,4
70,0.700212391,253.659000000,100,1320,1215,49,4
71,0.710209702,253.659000000,100,1320,1215,49,4
72,0.720208015,253.659000000,100,1320,1215,49,4
73,0.730207870,253.659000000,100,1320,1215,49,4
74,0.740208147,253.659000000,100,1320,1215,49,4
75,0.750208153,253.659000000,100,1320,1215,49,4
76,0.760207768,253.659000000,100,1320,1215,49,4
77,0.770209026,253.659000000,100,1335,1215,49,4
78,0.780208992,251.332000000,100,1335,1215,49,4
79,0.790208026,251.332000000,100,1335,1215,49,4
80,0.800208283,251.332000000,100,1335,1215,49,4
81,0.810207988,251.332000000,100,1335,1215,49,4
82,0.820212432,251.332000000,100,1335,1215,49,4
83,0.830208951,251.332000000,100,1335,1215,49,4
84,0.840208607,251.332000000,100,1335,1215,49,4
85,0.850207831,251.332000000,100,1335,1215,49,4
86,0.860207847,251.332000000,100,1335,1215,49,4
87,0.870209747,251.332000000,100,1335,1215,49,4
88,0.880209201,251.150000000,100,1335,1215,49,4
89,0.890208035,251.150000000,100,1335,1215,49,4
90,0.900208332,251.150000000,100,1335,1215,49,4
91,0.910208558,251.150000000,100,1335,1215,49,4
92,0.920207863,251.150000000,100,1335,1215,49,4
93,0.930208540,251.150000000,100,1335,1215,49,4
94,0.940208375,251.150000000,100,1335,1215,49,4
95,0.950207830,251.150000000,100,1335,1215,49,4
96,0.960207946,251.150000000,100,1335,1215,49,4
97,0.970208794,251.150000000,100,1305,1215,49,4
98,0.980214470,243.039000000,100,1305,1215,48,4
99,0.990212663,243.039000000,100,1305,1215,48,4
100,1.000208371,243.039000000,100,1305,1215,48,4
101,1.010209579,243.039000000,100,1305,1215,48,4
102,1.020212741,243.039000000,100,1305,1215,48,4
103,1.030207347,243.039000000,100,1305,1215,48,4
104,1.040207493,243.039000000,100,1305,1215,48,4
105,1.050207248,243.039000000,100,1305,1215,48,4
106,1.060207605,243.039000000,100,1305,1215,48,4
107,1.070211528,243.039000000,100,1335,1215,48,4
108,1.080208729,250.354000000,100,1335,1215,49,4
109,1.090208033,250.354000000,100,1335,1215,49,4
110,1.100211416,250.354000000,100,1335,1215,49,4
111,1.110209468,250.354000000,100,1335,1215,49,4
112,1.120211377,250.354000000,100,1335,1215,49,4
113,1.130208658,250.354000000,100,1335,1215,49,4
114,1.140209125,250.354000000,100,1335,1215,49,4
115,1.150208349,250.354000000,100,1335,1215,49,4
116,1.160208385,250.354000000,100,1335,1215,49,4
117,1.170208702,250.354000000,100,1350,1215,49,4
118,1.180209259,253.092000000,100,1350,1215,49,4
119,1.190212771,253.092000000,100,1350,1215,49,4
120,1.200208209,253.092000000,100,1350,1215,49,4
121,1.210208084,253.092000000,100,1350,1215,49,4
122,1.220207810,253.092000000,100,1350,1215,49,4
123,1.230208036,253.092000000,100,1350,1215,49,4
124,1.240207982,253.092000000,100,1350,1215,49,4
125,1.250208018,253.092000000,100,1350,1215,49,4
126,1.260208154,253.092000000,100,1350,1215,49,4
127,1.270208320,253.092000000,100,1350,1215,49,4
128,1.280209779,251.047000000,100,1350,1215,49,4
129,1.290208352,251.047000000,100,1350,1215,49,4
130,1.300208398,251.047000000,100,1350,1215,49,4
131,1.310208624,251.047000000,100,1350,1215,49,4
132,1.320207698,251.047000000,100,1350,1215,49,4
133,1.330207764,251.047000000,100,1350,1215,49,4
134,1.340208762,251.047000000,100,1350,1215,49,4
135,1.350213227,251.047000000,100,1350,1215,49,4
136,1.360208523,251.047000000,100,1350,1215,49,4
137,1.370208850,251.047000000,100,1335,1215,49,4
138,1.380213184,253.203000000,100,1335,1215,49,4
139,1.390207750,253.203000000,100,1335,1215,49,4
140,1.400208197,253.203000000,100,1335,1215,49,4
141,1.410212210,253.203000000,100,1335,1215,49,4
142,1.420208529,253.203000000,100,1335,1215,49,4
143,1.430208705,253.203000000,100,1335,1215,49,4
144,1.440208861,253.203000000,100,1335,1215,49,4
145,1.450207815,253.203000000,100,1335,1215,49,4
146,1.460208212,253.203000000,100,1335,1215,49,4
147,1.470209150,253.203000000,100,1335,1215,49,4
148,1.480209677,253.563000000,100,1335,1215,49,4
149,1.490207599,253.563000000,100,1335,1215,49,4
150,1.500209178,253.563000000,100,1335,1215,49,4
151,1.510208682,253.563000000,100,1335,1215,49,4
152,1.520208067,253.563000000,100,1335,1215,49,4
153,1.530208234,253.563000000,100,1335,1215,49,4
154,1.540208149,253.563000000,100,1335,1215,49,4
155,1.550207414,253.563000000,100,1335,1215,49,4
156,1.560207169,253.563000000,100,1335,1215,49,4
157,1.570207866,253.563000000,100,1335,1215,49,4
158,1.580208093,254.820000000,100,1335,1215,49,4
159,1.590207157,254.820000000,100,1335,1215,49,4
160,1.600207193,254.820000000,100,1335,1215,49,4
161,1.610207840,254.820000000,100,1335,1215,49,4
162,1.620207485,254.820000000,100,1335,1215,49,4
163,1.630208032,254.820000000,100,1335,1215,49,4
164,1.640212436,254.820000000,100,1335,1215,49,4
165,1.650208224,254.820000000,100,1335,1215,49,4
166,1.660207709,254.820000000,100,1335,1215,49,4
167,1.670209328,254.820000000,100,1335,1215,49,4
168,1.680209114,246.592000000,100,1335,1215,49,4
169,1.690207847,246.592000000,100,1335,1215,49,4
170,1.700211861,246.592000000,100,1335,1215,49,4
171,1.710208110,246.592000000,100,1335,1215,49,4
172,1.720207725,246.592000000,100,1335,1215,49,4
173,1.730207440,246.592000000,100,1335,1215,49,4
174,1.740208257,246.592000000,100,1335,1215,49,4
175,1.750207792,246.592000000,100,1335,1215,49,4
176,1.760208199,246.592000000,100,1335,1215,49,4
177,1.770208245,246.592000000,100,1320,1215,49,4
178,1.780212880,246.942000000,100,1320,1215,49,4
179,1.790208287,246.942000000,100,1320,1215,49,4
180,1.800212150,246.942000000,100,1320,1215,49,4
181,1.810208649,246.942000000,100,1320,1215,49,4
182,1.820207994,246.942000000,100,1320,1215,49,4
183,1.830212168,246.942000000,100,1320,1215,49,4
184,1.840208266,246.942000000,100,1320,1215,49,4
185,1.850207541,246.942000000,100,1320,1215,49,4
186,1.860212216,246.942000000,100,1320,1215,49,4
187,1.870209597,246.942000000,100,1320,1215,49,4
188,1.880208931,240.479000000,100,1305,1215,49,4
189,1.890208867,240.479000000,100,1305,1215,49,4
190,1.900212099,240.479000000,100,1305,1215,49,4
191,1.910208007,240.479000000,100,1305,1215,49,4
192,1.920211911,240.479000000,100,1305,1215,49,4
193,1.930207628,240.479000000,100,1305,1215,49,4
194,1.940208185,240.479000000,100,1305,1215,49,4
195,1.950208051,240.479000000,100,1305,1215,49,4
196,1.960208508,240.479000000,100,1305,1215,49,4
197,1.970208283,240.479000000,100,1320,1215,49,4
198,1.980209822,232.151000000,100,1320,1215,49,4
199,1.990208205,232.151000000,100,1320,1215,49,4
200,2.000208511,232.151000000,100,1320,1215,49,4
201,2.010207565,232.151000000,100,1320,1215,49,4
202,2.020208293,232.151000000,100,1320,1215,49,4
203,2.030207998,232.151000000,100,1320,1215,49,4
204,2.040370639,232.151000000,100,1320,1215,49,4
205,2.050208010,232.151000000,100,1320,1215,49,4
206,2.060207225,232.151000000,100,1320,1215,49,4
207,2.070207631,232.151000000,100,1335,1215,49,4
208,2.080208499,248.447000000,100,1335,1215,49,4
209,2.090206842,248.447000000,100,1335,1215,49,4
210,2.100207619,248.447000000,100,1335,1215,49,4
211,2.110208176,248.447000000,100,1335,1215,49,4
212,2.120207340,248.447000000,100,1335,1215,49,4
213,2.130207687,248.447000000,100,1335,1215,49,4
214,2.140207412,248.447000000,100,1335,1215,49,4
215,2.150210173,248.447000000,100,1335,1215,49,4
216,2.160208907,248.447000000,100,1335,1215,49,4
217,2.170208812,248.447000000,100,1350,1215,49,4
218,2.180210191,251.855000000,100,1350,1215,49,4
219,2.190207983,251.855000000,100,1350,1215,49,4
220,2.200212186,251.855000000,100,1350,1215,49,4
221,2.210207734,251.855000000,100,1350,1215,49,4
222,2.220207940,251.855000000,100,1350,1215,49,4
223,2.230208307,251.855000000,100,1350,1215,49,4
224,2.240209074,251.855000000,100,1350,1215,49,4
225,2.250207497,251.855000000,100,1350,1215,49,4
226,2.260207503,251.855000000,100,1350,1215,49,4
227,2.270209393,251.855000000,100,1335,1215,49,4
228,2.280209438,251.428000000,100,1335,1215,49,4
229,2.290209104,251.428000000,100,1335,1215,49,4
230,2.300208378,251.428000000,100,1335,1215,49,4
231,2.310207903,251.428000000,100,1335,1215,49,4
232,2.320208140,251.428000000,100,1335,1215,49,4
233,2.330207644,251.428000000,100,1335,1215,49,4
234,2.340207941,251.428000000,100,1335,1215,49,4
235,2.350208438,251.428000000,100,1335,1215,49,4
236,2.360207562,251.428000000,100,1335,1215,49,4
237,2.370208079,251.428000000,100,1335,1215,49,4
238,2.380208355,256.092000000,100,1335,1215,49,4
239,2.390208431,256.092000000,100,1335,1215,49,4
240,2.400207946,256.092000000,100,1335,1215,49,4
241,2.410207752,256.092000000,100,1335,1215,49,4
242,2.420208469,256.092000000,100,1335,1215,49,4
243,2.430208455,256.092000000,100,1335,1215,49,4
244,2.440208791,256.092000000,100,1335,1215,49,4
245,2.450208016,256.092000000,100,1335,1215,49,4
246,2.460211529,256.092000000,100,1335,1215,49,4
247,2.470209110,256.092000000,100,1335,1215,49,4
248,2.480208204,256.221000000,100,1335,1215,49,4
249,2.490208841,256.221000000,100,1335,1215,49,4
250,2.500212414,256.221000000,100,1335,1215,49,4
251,2.510212390,256.221000000,100,1335,1215,49,4
252,2.520208458,256.221000000,100,1335,1215,49,4
253,2.530208013,256.221000000,100,1335,1215,49,4
254,2.540208280,256.221000000,100,1335,1215,49,4
255,2.550209097,256.221000000,100,1335,1215,49,4
256,2.560207590,256.221000000,100,1335,1215,49,4
257,2.570208067,256.221000000,100,1335,1215,49,4
258,2.580209806,253.381000000,100,1335,1215,49,4
259,2.590207057,253.381000000,100,1335,1215,49,4
260,2.600207313,253.381000000,100,1335,1215,49,4
261,2.610207349,253.381000000,100,1335,1215,49,4
262,2.620210962,253.381000000,100,1335,1215,49,4
263,2.630207982,253.381000000,100,1335,1215,49,4
264,2.640211374,253.381000000,100,1335,1215,49,4
265,2.650207763,253.381000000,100,1335,1215,49,4
266,2.660207679,253.381000000,100,1335,1215,49,4
267,2.670208657,253.381000000,100,1335,1215,49,4
268,2.680209464,251.322000000,100,1335,1215,49,4
269,2.690208107,251.322000000,100,1335,1215,49,4
270,2.700207903,251.322000000,100,1335,1215,49,4
271,2.710208510,251.322000000,100,1335,1215,49,4
272,2.720208225,251.322000000,100,1335,1215,49,4
273,2.730208422,251.322000000,100,1335,1215,49,4
274,2.740207937,251.322000000,100,1335,1215,49,4
275,2.750208133,251.322000000,100,1335,1215,49,4
276,2.760208479,251.322000000,100,1335,1215,49,4
277,2.770208024,251.322000000,100,1320,1215,49,4
278,2.780209724,250.643000000,100,1320,1215,49,4
279,2.790207946,250.643000000,100,1320,1215,49,4
280,2.800212380,250.643000000,100,1320,1215,49,4
281,2.810208048,250.643000000,100,1320,1215,49,4
282,2.820208334,250.643000000,100,1320,1215,49,4
283,2.830208100,250.643000000,100,1320,1215,49,4
284,2.840208396,250.643000000,100,1320,1215,49,4
285,2.850208893,250.643000000,100,1320,1215,49,4
286,2.860208037,250.643000000,100,1320,1215,49,4
287,2.870210478,250.643000000,100,1335,1215,49,4
288,2.880210263,247.895000000,100,1335,1215,49,4
289,2.890209518,247.895000000,100,1335,1215,49,4
290,2.900208662,247.895000000,100,1335,1215,49,4
291,2.910208197,247.895000000,100,1335,1215,49,4
292,2.920212241,247.895000000,100,1335,1215,49,4
293,2.930208129,247.895000000,100,1335,1215,49,4
294,2.940208385,247.895000000,100,1335,1215,49,4
295,2.950208992,247.895000000,100,1335,1215,49,4
296,2.960208497,247.895000000,100,1335,1215,49,4
