sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.010987090,198.049000000,100,1410,1215,43,0
1,0.010992470,198.049000000,100,1410,1215,43,0
2,0.020275664,198.049000000,100,1410,1215,43,0
3,0.030276845,198.049000000,100,1410,1215,43,0
4,0.040278767,200.326000000,100,1410,1215,45,0
5,0.050470145,200.326000000,100,1410,1215,45,0
6,0.060854053,200.326000000,100,1410,1215,45,0
7,0.070311645,200.326000000,100,1410,1215,45,0
8,0.080279032,200.326000000,100,1410,1215,45,0
9,0.090276546,200.326000000,100,1410,1215,45,0
10,0.100281223,200.326000000,100,1410,1215,45,0
11,0.110276813,200.326000000,100,1410,1215,45,0
12,0.120276061,200.326000000,100,1410,1215,45,0
13,0.130284214,200.326000000,100,1410,1215,45,0
14,0.140281067,200.326000000,100,1410,1215,45,0
15,0.150277489,201.664000000,100,1410,1215,45,0
16,0.160278509,201.664000000,100,1410,1215,45,0
17,0.170278969,201.664000000,100,1410,1215,45,0
18,0.180276432,201.664000000,100,1410,1215,45,0
19,0.190276722,201.664000000,100,1410,1215,45,0
20,0.200279125,201.664000000,100,1410,1215,45,0
21,0.210280215,201.664000000,100,1410,1215,45,0
22,0.220274924,201.664000000,100,1410,1215,45,0
23,0.230275133,201.664000000,100,1410,1215,45,0
24,0.240276344,214.230000000,93,1410,1215,45,0
25,0.250283866,214.230000000,93,1410,1215,45,0
26,0.260277363,214.230000000,93,1410,1215,45,0
27,0.270276029,214.230000000,93,1410,1215,45,0
28,0.280275516,214.230000000,93,1410,1215,45,0
29,0.290280755,214.230000000,93,1410,1215,45,0
30,0.300275694,214.230000000,93,1410,1215,45,0
31,0.310274871,214.230000000,93,1410,1215,45,0
32,0.320556788,214.230000000,93,1410,1215,45,0
33,0.330280699,214.230000000,93,1410,1215,45,0
34,0.340614333,205.769000000,93,1410,1215,45,0
35,0.350283180,205.769000000,93,1410,1215,45,0
36,0.360276857,205.769000000,93,1410,1215,45,0
37,0.370274832,205.769000000,93,1410,1215,45,0
38,0.380276173,205.769000000,93,1410,1215,45,0
39,0.390277263,205.769000000,93,1410,1215,45,0
40,0.400276541,205.769000000,93,1410,1215,45,0
41,0.410275718,205.769000000,93,1410,1215,45,0
42,0.420274724,205.769000000,93,1410,1215,45,0
43,0.430276977,205.769000000,93,1410,1215,45,0
44,0.440275984,214.490000000,100,1410,1215,45,0
45,0.450273949,214.490000000,100,1410,1215,45,0
46,0.460273877,214.490000000,100,1410,1215,45,0
47,0.470277142,214.490000000,100,1410,1215,45,0
48,0.480285336,214.490000000,100,1410,1215,45,0
49,0.490277079,214.490000000,100,1410,1215,45,0
50,0.500396411,214.490000000,100,1410,1215,45,0
51,0.510303666,214.490000000,100,1410,1215,45,0
52,0.520276774,214.490000000,100,1410,1215,45,0
53,0.530281992,214.490000000,100,1410,1215,45,0
54,0.540277352,211.311000000,100,1410,1215,45,0
55,0.550284303,211.311000000,100,1410,1215,45,0
56,0.560274864,211.311000000,100,1410,1215,45,0
57,0.570413563,211.311000000,100,1410,1215,45,0
58,0.580276024,211.311000000,100,1410,1215,45,0
59,0.590274509,211.311000000,100,1410,1215,45,0
60,0.600282112,211.311000000,100,1410,1215,45,0
61,0.610279325,211.311000000,100,1410,1215,45,0
62,0.620274505,211.311000000,100,1410,1215,45,0
63,0.630276748,211.311000000,100,1410,1215,45,0
64,0.640275123,210.639000000,100,1410,1215,45,0
65,0.650281634,210.639000000,100,1410,1215,45,0
66,0.660274920,210.639000000,100,1410,1215,45,0
67,0.670282553,210.639000000,100,1410,1215,45,0
68,0.680276590,210.639000000,100,1410,1215,45,0
69,0.690279324,210.639000000,100,1410,1215,45,0
70,0.700289872,210.639000000,100,1410,1215,45,0
71,0.711618101,210.639000000,100,1410,1215,45,0
72,0.720295900,210.639000000,100,1410,1215,45,0
73,0.730287573,210.639000000,100,1410,1215,45,0
74,0.740277152,213.646000000,100,1410,1215,45,0
75,0.750305624,213.646000000,100,1410,1215,45,0
76,0.760279093,213.646000000,100,1410,1215,45,0
77,0.770275445,213.646000000,100,1410,1215,45,0
78,0.780290271,213.646000000,100,1410,1215,45,0
79,0.790277846,213.646000000,100,1410,1215,45,0
80,0.800274298,213.646000000,100,1410,1215,45,0
81,0.810304243,213.646000000,100,1410,1215,45,0
82,0.820277040,213.646000000,100,1410,1215,45,0
83,0.830274995,213.646000000,100,1410,1215,45,0
84,0.840276597,200.419000000,100,1410,1215,45,0
85,0.850273860,200.419000000,100,1410,1215,45,0
86,0.860274319,200.419000000,100,1410,1215,45,0
87,0.870274608,200.419000000,100,1410,1215,45,0
88,0.880274697,200.419000000,100,1410,1215,45,0
89,0.890279104,200.419000000,100,1410,1215,45,0
90,0.900279173,200.419000000,100,1410,1215,45,0
91,0.910277278,200.419000000,100,1410,1215,45,0
92,0.920272738,200.419000000,100,1410,1215,45,0
93,0.930294878,200.419000000,100,1410,1215,45,0
94,0.940284938,214.463000000,100,1410,1215,45,0
95,0.950278334,214.463000000,100,1410,1215,45,0
96,0.960280456,214.463000000,100,1410,1215,45,0
97,0.970507741,214.463000000,100,1410,1215,45,0
98,0.980277858,214.463000000,100,1410,1215,45,0
99,0.990275472,214.463000000,100,1410,1215,45,0
100,1.000302041,214.463000000,100,1410,1215,45,0
101,1.010279798,214.463000000,100,1410,1215,45,0
102,1.020281499,214.463000000,100,1410,1215,45,0
103,1.030287219,214.463000000,100,1410,1215,45,0
104,1.040274233,209.490000000,100,1410,1215,45,0
105,1.050277307,209.490000000,100,1410,1215,45,0
106,1.061727865,209.490000000,100,1410,1215,45,0
107,1.070505362,209.490000000,100,1410,1215,45,0
108,1.080306307,209.490000000,100,1410,1215,45,0
109,1.090282551,209.490000000,100,1410,1215,45,0
110,1.100283812,209.490000000,100,1410,1215,45,0
111,1.110274543,209.490000000,100,1410,1215,45,0
112,1.120272778,209.490000000,100,1410,1215,45,0
113,1.130276744,209.490000000,100,1410,1215,45,0
114,1.140278446,213.606000000,100,1410,1215,45,0
115,1.150273275,213.606000000,100,1410,1215,45,0
116,1.160275678,213.606000000,100,1410,1215,45,0
117,1.170279784,213.606000000,100,1410,1215,45,0
118,1.180278250,213.606000000,100,1410,1215,45,0
119,1.190276255,213.606000000,100,1410,1215,45,0
120,1.200274580,213.606000000,100,1410,1215,45,0
121,1.210278806,213.606000000,100,1410,1215,45,0
122,1.220276450,213.606000000,100,1410,1215,45,0
123,1.230274876,213.606000000,100,1410,1215,45,0
124,1.240276157,213.606000000,100,1410,1215,45,0
125,1.250277117,213.606000000,100,1410,1215,45,0
126,1.260277987,213.606000000,100,1410,1215,45,0
127,1.270276854,213.606000000,100,1410,1215,45,0
128,1.280274298,213.606000000,100,1410,1215,45,0
129,1.290277422,213.606000000,100,1410,1215,45,0
130,1.300276970,213.606000000,100,1410,1215,45,0
131,1.310274033,213.606000000,100,1410,1215,45,0
132,1.320276506,213.606000000,100,1410,1215,45,0
133,1.330275893,213.606000000,100,1410,1215,45,0
134,1.340273367,213.578000000,100,1410,1215,45,0
135,1.350277293,213.578000000,100,1410,1215,45,0
136,1.360273875,213.578000000,100,1410,1215,45,0
137,1.370275336,213.578000000,100,1410,1215,45,0
138,1.380278030,213.578000000,100,1410,1215,45,0
139,1.390274843,213.578000000,100,1410,1215,45,0
140,1.400279580,213.578000000,100,1410,1215,45,0
141,1.410274539,213.578000000,100,1410,1215,45,0
142,1.420277874,213.578000000,100,1410,1215,45,0
143,1.432982654,213.578000000,100,1410,1215,45,0
144,1.440280816,198.407000000,100,1410,1215,45,0
145,1.450277659,198.407000000,100,1410,1215,45,0
146,1.460595564,198.407000000,100,1410,1215,45,0
