sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.004316080,195.028000000,100,1410,1215,49,0
1,0.010188566,193.779000000,100,1410,1215,49,0
2,0.020187938,193.779000000,100,1410,1215,49,0
3,0.030189534,193.779000000,100,1410,1215,49,0
4,0.040188576,193.779000000,100,1410,1215,49,0
5,0.050187618,193.779000000,100,1410,1215,49,0
6,0.060187601,193.779000000,100,1410,1215,49,0
7,0.070188346,193.779000000,100,1410,1215,49,0
8,0.080188009,193.779000000,100,1410,1215,49,0
9,0.090187691,193.779000000,100,1410,1215,49,0
10,0.100186953,193.779000000,100,1410,1215,49,0
11,0.110187838,189.409000000,100,1410,1215,49,0
12,0.120187381,189.409000000,100,1410,1215,49,0
13,0.130187715,189.409000000,100,1410,1215,49,0
14,0.140188009,189.409000000,100,1410,1215,49,0
15,0.150186960,189.409000000,100,1410,1215,49,0
16,0.160187254,189.409000000,100,1410,1215,49,0
17,0.170187208,189.409000000,100,1410,1215,49,0
18,0.180188103,189.409000000,100,1410,1215,49,0
19,0.190187205,189.409000000,100,1410,1215,49,0
20,0.200188160,189.409000000,100,1410,1215,49,0
21,0.210188534,193.495000000,100,1410,1215,49,0
22,0.220188527,193.495000000,100,1410,1215,49,0
23,0.230187679,193.495000000,100,1410,1215,49,0
24,0.240187001,193.495000000,100,1410,1215,49,0
25,0.250244292,193.495000000,100,1410,1215,49,0
26,0.260189192,193.495000000,100,1410,1215,49,0
27,0.270189777,193.495000000,100,1410,1215,49,0
28,0.280187456,193.495000000,100,1410,1215,49,0
29,0.290187459,193.495000000,100,1410,1215,49,0
30,0.300188004,193.495000000,100,1410,1215,49,0
31,0.310188368,195.082000000,100,1410,1215,49,0
32,0.320187500,195.082000000,100,1410,1215,49,0
33,0.330187303,195.082000000,100,1410,1215,49,0
34,0.340187516,195.082000000,100,1410,1215,49,0
35,0.350186969,195.082000000,100,1410,1215,49,0
36,0.360186652,195.082000000,100,1410,1215,49,0
37,0.370187356,195.082000000,100,1410,1215,49,0
38,0.380187751,195.082000000,100,1410,1215,49,0
39,0.390186211,195.082000000,100,1410,1215,49,0
40,0.400186886,195.082000000,100,1410,1215,49,0
41,0.410187771,194.507000000,100,1410,1215,49,0
42,0.420187874,194.507000000,100,1410,1215,49,0
43,0.430188339,194.507000000,100,1410,1215,49,0
44,0.440188633,194.507000000,100,1410,1215,49,0
45,0.450188656,194.507000000,100,1410,1215,49,0
46,0.460194380,194.507000000,100,1410,1215,49,0
47,0.470189745,194.507000000,100,1410,1215,49,0
48,0.480187564,194.507000000,100,1410,1215,49,0
49,0.490188199,194.507000000,100,1410,1215,49,0
50,0.500187120,194.507000000,100,1410,1215,49,0
51,0.510191522,196.262000000,100,1410,1215,49,0
52,0.520189742,196.262000000,100,1410,1215,49,0
53,0.530187912,196.262000000,100,1410,1215,49,0
54,0.540188226,196.262000000,100,1410,1215,49,0
55,0.550187358,196.262000000,100,1410,1215,49,0
56,0.560186600,196.262000000,100,1410,1215,49,0
57,0.570187856,196.262000000,100,1410,1215,49,0
58,0.580187769,196.262000000,100,1410,1215,49,0
59,0.590186851,196.262000000,100,1410,1215,49,0
60,0.600215608,196.262000000,100,1410,1215,49,0
61,0.610189012,197.162000000,100,1410,1215,49,0
62,0.620187713,197.162000000,100,1410,1215,49,0
63,0.630187305,197.162000000,100,1410,1215,49,0
64,0.640187008,197.162000000,100,1410,1215,49,0
65,0.650188946,197.162000000,100,1410,1215,49,0
66,0.660187737,197.162000000,100,1410,1215,49,0
67,0.670188662,197.162000000,100,1410,1215,49,0
68,0.680187574,197.162000000,100,1410,1215,49,0
69,0.690187086,197.162000000,100,1410,1215,49,0
70,0.700187801,197.162000000,100,1410,1215,49,0
71,0.710192083,193.953000000,100,1410,1215,49,0
72,0.720202385,193.953000000,100,1410,1215,49,0
73,0.730193833,193.953000000,100,1410,1215,49,0
74,0.740188567,193.953000000,100,1410,1215,49,0
75,0.750188961,193.953000000,100,1410,1215,49,0
76,0.760188233,193.953000000,100,1410,1215,49,0
77,0.770187806,193.953000000,100,1410,1215,49,0
78,0.780339533,193.953000000,100,1410,1215,49,0
79,0.790220454,193.953000000,100,1410,1215,49,0
80,0.800189009,193.953000000,100,1410,1215,49,0
81,0.810189673,194.962000000,100,1410,1215,49,0
82,0.820189016,194.962000000,100,1410,1215,49,0
83,0.830188468,194.962000000,100,1410,1215,49,0
84,0.840189253,194.962000000,100,1410,1215,49,0
85,0.850188155,194.962000000,100,1410,1215,49,0
86,0.860188499,194.962000000,100,1410,1215,49,0
87,0.870192059,194.962000000,100,1410,1215,49,0
88,0.880319080,194.962000000,100,1410,1215,49,0
89,0.890188239,194.962000000,100,1410,1215,49,0
90,0.900189034,194.962000000,100,1410,1215,49,0
91,0.930490227,194.476000000,100,1410,1215,49,0
92,0.930494455,194.476000000,100,1410,1215,49,0
93,0.930496188,194.476000000,100,1410,1215,49,0
94,0.940190341,194.476000000,100,1410,1215,49,0
95,0.950187489,194.476000000,100,1410,1215,49,0
96,0.960188594,194.476000000,100,1410,1215,49,0
97,0.970187376,194.476000000,100,1410,1215,49,0
98,0.980188381,194.476000000,100,1410,1215,49,0
99,0.990191110,194.476000000,100,1410,1215,49,0
100,1.000188248,194.476000000,100,1410,1215,49,0
