sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.006488929,197.038000000,100,1410,1215,50,0
1,0.010245845,197.038000000,100,1410,1215,50,0
2,0.020248176,197.038000000,100,1410,1215,50,0
3,0.030246329,197.038000000,100,1410,1215,50,0
4,0.040246656,197.038000000,100,1410,1215,50,0
5,0.050245992,197.038000000,100,1410,1215,50,0
6,0.060244856,197.038000000,100,1410,1215,50,0
7,0.070246566,197.038000000,100,1410,1215,50,0
8,0.080250389,197.038000000,100,1410,1215,50,0
9,0.090247380,194.906000000,100,1410,1215,50,0
10,0.100247056,194.906000000,100,1410,1215,50,0
11,0.110247072,194.906000000,100,1410,1215,50,0
12,0.120246077,194.906000000,100,1410,1215,50,0
13,0.130247015,194.906000000,100,1410,1215,50,0
14,0.140246290,194.906000000,100,1410,1215,50,0
15,0.150246197,194.906000000,100,1410,1215,50,0
16,0.160245201,194.906000000,100,1410,1215,50,0
17,0.170246730,194.906000000,100,1410,1215,50,0
18,0.180244343,194.906000000,100,1410,1215,50,0
19,0.190247294,194.969000000,100,1410,1215,50,0
20,0.200246800,194.969000000,100,1410,1215,49,0
21,0.210245725,194.969000000,100,1410,1215,49,0
22,0.220246112,194.969000000,100,1410,1215,49,0
23,0.230245227,194.969000000,100,1410,1215,49,0
24,0.240245744,194.969000000,100,1410,1215,49,0
25,0.250245049,194.969000000,100,1410,1215,49,0
26,0.260245997,194.969000000,100,1410,1215,49,0
27,0.270245303,194.969000000,100,1410,1215,49,0
28,0.280245379,194.969000000,100,1410,1215,49,0
29,0.290245927,193.572000000,100,1410,1215,49,0
30,0.300247536,193.572000000,100,1410,1215,49,0
31,0.310245489,193.572000000,100,1410,1215,49,0
32,0.320246637,193.572000000,100,1410,1215,49,0
33,0.330248327,193.572000000,100,1410,1215,49,0
34,0.340245669,193.572000000,100,1410,1215,49,0
35,0.350245665,193.572000000,100,1410,1215,49,0
36,0.360246523,193.572000000,100,1410,1215,49,0
37,0.370246229,193.572000000,100,1410,1215,49,0
38,0.380248039,193.572000000,100,1410,1215,49,0
39,0.390247144,192.732000000,100,1410,1215,50,0
40,0.400245317,192.732000000,100,1410,1215,50,0
41,0.410250222,192.732000000,100,1410,1215,50,0
42,0.420245961,192.732000000,100,1410,1215,50,0
43,0.430245466,192.732000000,100,1410,1215,50,0
44,0.440246134,192.732000000,100,1410,1215,50,0
45,0.450245930,192.732000000,100,1410,1215,50,0
46,0.460249313,192.732000000,100,1410,1215,50,0
47,0.470249750,192.732000000,100,1410,1215,50,0
48,0.480245329,192.732000000,100,1410,1215,50,0
49,0.490245966,195.404000000,100,1410,1215,50,0
50,0.500246344,195.404000000,100,1410,1215,50,0
51,0.510245819,195.404000000,100,1410,1215,50,0
52,0.520246427,195.404000000,100,1410,1215,50,0
53,0.530245702,195.404000000,100,1410,1215,50,0
54,0.540246580,195.404000000,100,1410,1215,50,0
55,0.550244924,195.404000000,100,1410,1215,50,0
56,0.560246574,195.404000000,100,1410,1215,50,0
57,0.570250608,195.404000000,100,1410,1215,50,0
58,0.580247248,195.404000000,100,1410,1215,50,0
59,0.590246954,196.258000000,100,1410,1215,50,0
60,0.600247742,196.258000000,100,1410,1215,49,0
61,0.610246957,196.258000000,100,1410,1215,49,0
62,0.620246192,196.258000000,100,1410,1215,49,0
63,0.630247481,196.258000000,100,1410,1215,49,0
64,0.640246246,196.258000000,100,1410,1215,49,0
65,0.650246042,196.258000000,100,1410,1215,49,0
66,0.660250537,196.258000000,100,1410,1215,49,0
67,0.670246366,196.258000000,100,1410,1215,49,0
68,0.680245521,196.258000000,100,1410,1215,49,0
69,0.690247150,197.100000000,100,1410,1215,49,0
70,0.700246185,197.100000000,100,1410,1215,50,0
71,0.710247163,197.100000000,100,1410,1215,50,0
72,0.720247020,197.100000000,100,1410,1215,50,0
73,0.730246355,197.100000000,100,1410,1215,50,0
74,0.740247394,197.100000000,100,1410,1215,50,0
75,0.750247100,197.100000000,100,1410,1215,50,0
76,0.760246385,197.100000000,100,1410,1215,50,0
77,0.770246061,197.100000000,100,1410,1215,50,0
