sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.003097799,190.772000000,100,1410,1215,33,0
1,0.010202788,190.772000000,100,1410,1215,33,0
2,0.020203170,190.677000000,100,1410,1215,33,0
3,0.030202259,190.677000000,100,1410,1215,33,0
4,0.040200647,190.677000000,100,1410,1215,33,0
5,0.050201520,190.677000000,100,1410,1215,33,0
6,0.060200599,190.677000000,100,1410,1215,33,0
7,0.070201793,190.677000000,100,1410,1215,33,0
8,0.080200471,190.677000000,100,1410,1215,33,0
9,0.090201294,190.677000000,100,1410,1215,33,0
10,0.100200824,190.677000000,100,1410,1215,33,0
11,0.110201286,190.677000000,100,1410,1215,33,0
12,0.120201567,190.226000000,100,1410,1215,33,0
13,0.130202700,190.226000000,100,1410,1215,33,0
14,0.140202501,190.226000000,100,1410,1215,33,0
15,0.150201831,190.226000000,100,1410,1215,33,0
16,0.160202353,190.226000000,100,1410,1215,33,0
17,0.170202224,190.226000000,100,1410,1215,33,0
18,0.180201673,190.226000000,100,1410,1215,33,0
19,0.190200643,190.226000000,100,1410,1215,33,0
20,0.200202036,190.226000000,100,1410,1215,33,0
21,0.210201416,190.226000000,100,1410,1215,33,0
22,0.220202269,189.648000000,97,1410,1215,33,0
23,0.230202089,189.648000000,97,1410,1215,33,0
24,0.240202521,189.648000000,97,1410,1215,33,0
25,0.250200999,189.648000000,97,1410,1215,33,0
26,0.260201551,189.648000000,97,1410,1215,33,0
27,0.270201683,189.648000000,97,1410,1215,33,0
28,0.280201223,189.648000000,97,1410,1215,33,0
29,0.290202827,189.648000000,97,1410,1215,33,0
30,0.300201996,189.648000000,97,1410,1215,33,0
31,0.310202298,189.648000000,97,1410,1215,33,0
32,0.320203641,188.732000000,97,1410,1215,33,0
33,0.330203823,188.732000000,97,1410,1215,33,0
34,0.340201519,188.732000000,97,1410,1215,33,0
35,0.350203234,188.732000000,97,1410,1215,33,0
36,0.360203996,188.732000000,97,1410,1215,33,0
37,0.370201793,188.732000000,97,1410,1215,33,0
38,0.380202375,188.732000000,97,1410,1215,33,0
39,0.390202075,188.732000000,97,1410,1215,33,0
40,0.400202237,188.732000000,97,1410,1215,33,0
41,0.410201065,188.732000000,97,1410,1215,33,0
42,0.420203261,188.685000000,100,1410,1215,33,0
43,0.430202530,188.685000000,100,1410,1215,33,0
44,0.440202812,188.685000000,100,1410,1215,33,0
45,0.450201701,188.685000000,100,1410,1215,33,0
46,0.460202673,188.685000000,100,1410,1215,33,0
47,0.470202865,188.685000000,100,1410,1215,33,0
48,0.480202064,188.685000000,100,1410,1215,33,0
49,0.490201975,188.685000000,100,1410,1215,33,0
50,0.500203449,188.685000000,100,1410,1215,33,0
51,0.510201977,188.685000000,100,1410,1215,33,0
52,0.520209222,186.543000000,100,1410,1215,33,0
53,0.530201678,186.543000000,100,1410,1215,33,0
54,0.540201920,186.543000000,100,1410,1215,33,0
55,0.550201971,186.543000000,100,1410,1215,33,0
56,0.560201932,186.543000000,100,1410,1215,33,0
57,0.570201352,186.543000000,100,1410,1215,33,0
58,0.580202015,186.543000000,100,1410,1215,33,0
59,0.590201044,186.543000000,100,1410,1215,33,0
60,0.600252561,186.543000000,100,1410,1215,33,0
61,0.610206928,186.543000000,100,1410,1215,33,0
62,0.620212940,187.455000000,100,1410,1215,33,0
63,0.630215687,187.455000000,100,1410,1215,33,0
64,0.640205549,187.455000000,100,1410,1215,33,0
65,0.650210460,187.455000000,100,1410,1215,33,0
66,0.660205161,187.455000000,100,1410,1215,33,0
67,0.670202598,187.455000000,100,1410,1215,33,0
68,0.680203410,187.455000000,100,1410,1215,33,0
69,0.690202189,187.455000000,100,1410,1215,33,0
70,0.700201880,187.455000000,100,1410,1215,33,0
71,0.710201931,187.455000000,100,1410,1215,33,0
72,0.720203305,191.177000000,100,1410,1215,33,0
73,0.730202756,191.177000000,100,1410,1215,33,0
74,0.740202386,191.177000000,100,1410,1215,33,0
75,0.750202157,191.177000000,100,1410,1215,33,0
76,0.760202389,191.177000000,100,1410,1215,33,0
77,0.770204213,191.177000000,100,1410,1215,33,0
78,0.780203503,191.177000000,100,1410,1215,33,0
79,0.790202192,191.177000000,100,1410,1215,33,0
80,0.800202023,191.177000000,100,1410,1215,33,0
81,0.810201834,191.177000000,100,1410,1215,33,0
82,0.820202657,191.061000000,100,1410,1215,33,0
83,0.830202839,191.061000000,100,1410,1215,33,0
84,0.840202770,191.061000000,100,1410,1215,33,0
85,0.850205296,191.061000000,100,1410,1215,33,0
86,0.860200408,191.061000000,100,1410,1215,33,0
87,0.870202203,191.061000000,100,1410,1215,33,0
88,0.880201292,191.061000000,100,1410,1215,33,0
89,0.890233323,191.061000000,100,1410,1215,33,0
90,0.900202577,191.061000000,100,1410,1215,33,0
91,0.910202959,191.061000000,100,1410,1215,33,0
92,0.920202840,191.117000000,100,1410,1215,33,0
93,0.930202411,191.117000000,100,1410,1215,33,0
94,0.940201550,191.117000000,100,1410,1215,33,0
95,0.950203175,191.117000000,100,1410,1215,33,0
96,0.960201453,191.117000000,100,1410,1215,33,0
97,0.970201795,191.117000000,100,1410,1215,33,0
98,0.980202247,191.117000000,100,1410,1215,33,0
99,0.990201747,191.117000000,100,1410,1215,33,0
