sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.004861668,216.407000000,100,1410,1215,35,0
1,0.010178612,216.407000000,100,1410,1215,35,0
2,0.020177951,216.407000000,100,1410,1215,35,0
3,0.030178012,174.926000000,100,1410,1215,35,0
4,0.040178363,174.926000000,100,1410,1215,34,0
5,0.050177812,174.926000000,100,1410,1215,34,0
6,0.060178163,174.926000000,100,1410,1215,34,0
7,0.070176761,174.926000000,100,1410,1215,34,0
8,0.080176812,174.926000000,100,1410,1215,34,0
9,0.090177083,174.926000000,100,1410,1215,34,0
10,0.100176763,174.926000000,100,1410,1215,34,0
11,0.110176833,174.926000000,100,1410,1215,34,0
12,0.120176743,174.926000000,100,1410,1215,34,0
13,0.130176844,215.056000000,100,1410,1215,35,0
14,0.140176244,215.056000000,100,1410,1215,35,0
15,0.150175973,215.056000000,100,1410,1215,35,0
16,0.160176214,215.056000000,100,1410,1215,35,0
17,0.170176145,215.056000000,100,1410,1215,35,0
18,0.180176436,215.056000000,100,1410,1215,35,0
19,0.190175665,215.056000000,100,1410,1215,35,0
20,0.200176386,215.056000000,100,1410,1215,35,0
21,0.210175535,215.056000000,100,1410,1215,35,0
22,0.220176147,215.056000000,100,1410,1215,35,0
23,0.230176538,212.960000000,96,1410,1215,35,0
24,0.240177170,212.960000000,96,1410,1215,35,0
25,0.250175988,212.960000000,96,1410,1215,35,0
26,0.260177060,212.960000000,96,1410,1215,35,0
27,0.270176199,212.960000000,96,1410,1215,35,0
28,0.280176921,212.960000000,96,1410,1215,35,0
29,0.290175849,212.960000000,96,1410,1215,35,0
30,0.300175780,212.960000000,96,1410,1215,35,0
31,0.310175860,212.960000000,96,1410,1215,35,0
32,0.320176131,212.960000000,96,1410,1215,35,0
33,0.330176673,209.456000000,96,1410,1215,35,0
34,0.340176292,209.456000000,96,1410,1215,35,0
35,0.350175962,209.456000000,96,1410,1215,35,0
36,0.360175582,209.456000000,96,1410,1215,35,0
37,0.370175833,209.456000000,96,1410,1215,35,0
38,0.380176024,209.456000000,96,1410,1215,35,0
39,0.390176335,209.456000000,96,1410,1215,35,0
40,0.400175774,209.456000000,96,1410,1215,35,0
41,0.410177067,209.456000000,96,1410,1215,35,0
42,0.420176126,209.456000000,96,1410,1215,35,0
43,0.430178230,200.538000000,100,1410,1215,35,0
44,0.440179262,200.538000000,100,1410,1215,35,0
45,0.450175025,200.538000000,100,1410,1215,35,0
46,0.460177249,200.538000000,100,1410,1215,35,0
47,0.470195684,200.538000000,100,1410,1215,35,0
48,0.480176699,200.538000000,100,1410,1215,35,0
49,0.490175668,200.538000000,100,1410,1215,35,0
50,0.500176981,200.538000000,100,1410,1215,35,0
51,0.510175689,200.538000000,100,1410,1215,35,0
52,0.520177382,200.538000000,100,1410,1215,35,0
53,0.530177343,216.277000000,100,1410,1215,35,0
54,0.540176081,216.277000000,100,1410,1215,35,0
55,0.550177133,216.277000000,100,1410,1215,35,0
56,0.560177695,216.277000000,100,1410,1215,35,0
57,0.570181703,216.277000000,100,1410,1215,35,0
58,0.580177445,216.277000000,100,1410,1215,35,0
59,0.590177626,216.277000000,100,1410,1215,35,0
60,0.600175993,216.277000000,100,1410,1215,35,0
61,0.610177637,216.277000000,100,1410,1215,35,0
62,0.620181565,216.277000000,100,1410,1215,35,0
63,0.630177888,217.934000000,100,1410,1215,35,0
64,0.640176777,217.934000000,100,1410,1215,35,0
65,0.650177198,217.934000000,100,1410,1215,35,0
66,0.660176267,217.934000000,100,1410,1215,35,0
67,0.670176938,217.934000000,100,1410,1215,35,0
68,0.680176448,217.934000000,100,1410,1215,35,0
69,0.690177671,217.934000000,100,1410,1215,35,0
70,0.700176499,217.934000000,100,1410,1215,35,0
71,0.710177341,217.934000000,100,1410,1215,35,0
72,0.720176450,217.934000000,100,1410,1215,35,0
73,0.730182391,217.273000000,100,1410,1215,35,0
74,0.740176841,217.273000000,100,1410,1215,35,0
75,0.750176731,217.273000000,100,1410,1215,35,0
76,0.760180980,217.273000000,100,1410,1215,35,0
77,0.770181020,217.273000000,100,1410,1215,35,0
78,0.780177154,217.273000000,100,1410,1215,35,0
79,0.790175832,217.273000000,100,1410,1215,35,0
80,0.800178577,217.273000000,100,1410,1215,35,0
81,0.810177485,217.273000000,100,1410,1215,35,0
82,0.820175953,217.273000000,100,1410,1215,35,0
83,0.830178038,216.221000000,100,1410,1215,36,0
84,0.840177176,216.221000000,100,1410,1215,36,0
85,0.850176365,216.221000000,100,1410,1215,36,0
86,0.860176135,216.221000000,100,1410,1215,36,0
87,0.870176937,216.221000000,100,1410,1215,36,0
88,0.880176717,216.221000000,100,1410,1215,36,0
89,0.890177379,216.221000000,100,1410,1215,36,0
90,0.900176167,216.221000000,100,1410,1215,36,0
91,0.910175586,216.221000000,100,1410,1215,36,0
92,0.920175046,216.221000000,100,1410,1215,36,0
93,0.930176840,214.001000000,100,1410,1215,36,0
94,0.940180477,214.001000000,100,1410,1215,36,0
95,0.950176500,214.001000000,100,1410,1215,36,0
96,0.960190015,214.001000000,100,1410,1215,36,0
97,0.970177933,214.001000000,100,1410,1215,36,0
98,0.980176702,214.001000000,100,1410,1215,36,0
99,0.990181161,214.001000000,100,1410,1215,36,0
100,1.000177495,214.001000000,100,1410,1215,36,0
101,1.010176303,214.001000000,100,1410,1215,36,0
102,1.020178348,214.001000000,100,1410,1215,36,0
