sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.002200703,209.667000000,100,1410,1215,44,0
1,0.010223213,209.667000000,100,1410,1215,44,0
2,0.020223110,209.667000000,100,1410,1215,44,0
3,0.030224519,209.667000000,100,1410,1215,44,0
4,0.040224526,209.667000000,100,1410,1215,44,0
5,0.050222910,209.667000000,100,1410,1215,44,0
6,0.060223789,209.786000000,100,1410,1215,44,0
7,0.070223175,209.786000000,100,1410,1215,44,0
8,0.080223302,209.786000000,100,1410,1215,44,0
9,0.090225433,209.786000000,100,1410,1215,44,0
10,0.100224148,209.786000000,100,1410,1215,44,0
11,0.110224175,209.786000000,100,1410,1215,44,0
12,0.120224383,209.786000000,100,1410,1215,44,0
13,0.130225582,209.786000000,100,1410,1215,44,0
14,0.140223515,209.786000000,100,1410,1215,44,0
15,0.150223332,209.786000000,100,1410,1215,44,0
16,0.160225443,212.822000000,97,1410,1215,44,0
17,0.170229648,212.822000000,97,1410,1215,44,0
18,0.180223824,212.822000000,97,1410,1215,44,0
19,0.190223471,212.822000000,97,1410,1215,44,0
20,0.200223798,212.822000000,97,1410,1215,44,0
21,0.210223214,212.822000000,97,1410,1215,44,0
22,0.220223422,212.822000000,97,1410,1215,44,0
23,0.230223258,212.822000000,97,1410,1215,44,0
24,0.240223366,212.822000000,97,1410,1215,44,0
25,0.250223743,212.822000000,97,1410,1215,44,0
26,0.260224251,211.066000000,97,1410,1215,44,0
27,0.270223487,211.066000000,97,1410,1215,44,0
28,0.280222643,211.066000000,97,1410,1215,44,0
29,0.290403977,211.066000000,97,1410,1215,44,0
30,0.300223589,211.066000000,97,1410,1215,44,0
31,0.310222955,211.066000000,97,1410,1215,44,0
32,0.320223152,211.066000000,97,1410,1215,44,0
33,0.330223200,211.066000000,97,1410,1215,44,0
34,0.340223298,211.066000000,97,1410,1215,44,0
35,0.350224106,211.066000000,97,1410,1215,44,0
36,0.360224605,207.808000000,100,1410,1215,44,0
37,0.370223690,207.808000000,100,1410,1215,44,0
38,0.380223437,207.808000000,100,1410,1215,44,0
39,0.390223795,207.808000000,100,1410,1215,44,0
40,0.400224384,207.808000000,100,1410,1215,44,0
41,0.410223149,207.808000000,100,1410,1215,44,0
42,0.420223767,207.808000000,100,1410,1215,44,0
43,0.430223294,207.808000000,100,1410,1215,44,0
44,0.440224092,207.808000000,100,1410,1215,44,0
45,0.450223459,207.808000000,100,1410,1215,44,0
46,0.460224538,201.910000000,100,1410,1215,44,0
47,0.470222892,201.910000000,100,1410,1215,44,0
48,0.480224032,201.910000000,100,1410,1215,44,0
49,0.490223708,201.910000000,100,1410,1215,44,0
50,0.500223295,201.910000000,100,1410,1215,44,0
51,0.510222902,201.910000000,100,1410,1215,44,0
52,0.520227568,201.910000000,100,1410,1215,44,0
53,0.530223818,201.910000000,100,1410,1215,44,0
54,0.540222573,201.910000000,100,1410,1215,44,0
55,0.550222480,201.910000000,100,1410,1215,44,0
56,0.560224371,205.118000000,100,1410,1215,44,0
57,0.570222916,205.118000000,100,1410,1215,44,0
58,0.580224456,205.118000000,100,1410,1215,44,0
59,0.590224293,205.118000000,100,1410,1215,44,0
60,0.600223609,205.118000000,100,1410,1215,44,0
61,0.610223266,205.118000000,100,1410,1215,44,0
62,0.620225377,205.118000000,100,1410,1215,44,0
63,0.630223270,205.118000000,100,1410,1215,44,0
64,0.640227395,205.118000000,100,1410,1215,44,0
65,0.650223425,205.118000000,100,1410,1215,44,0
66,0.660229765,213.342000000,100,1410,1215,44,0
67,0.670223640,213.342000000,100,1410,1215,44,0
68,0.680224660,213.342000000,100,1410,1215,44,0
69,0.690223114,213.342000000,100,1410,1215,44,0
70,0.700225236,213.342000000,100,1410,1215,44,0
71,0.710223500,213.342000000,100,1410,1215,44,0
72,0.720224058,213.342000000,100,1410,1215,44,0
73,0.730223855,213.342000000,100,1410,1215,44,0
74,0.740223592,213.342000000,100,1410,1215,44,0
75,0.750223439,213.342000000,100,1410,1215,44,0
76,0.760224368,213.630000000,100,1410,1215,44,0
77,0.770223614,213.630000000,100,1410,1215,44,0
78,0.780222649,213.630000000,100,1410,1215,44,0
79,0.790223639,213.630000000,100,1410,1215,44,0
80,0.800223436,213.630000000,100,1410,1215,44,0
81,0.810223283,213.630000000,100,1410,1215,44,0
82,0.820223400,213.630000000,100,1410,1215,44,0
83,0.830223448,213.630000000,100,1410,1215,44,0
84,0.840223475,213.630000000,100,1410,1215,44,0
85,0.850223502,213.630000000,100,1410,1215,44,0
86,0.860224782,213.343000000,100,1410,1215,44,0
87,0.870223798,213.343000000,100,1410,1215,44,0
88,0.880223805,213.343000000,100,1410,1215,44,0
89,0.890223933,213.343000000,100,1410,1215,44,0
90,0.900223169,213.343000000,100,1410,1215,44,0
91,0.910223597,213.343000000,100,1410,1215,44,0
92,0.920228413,213.343000000,100,1410,1215,44,0
93,0.930224022,213.343000000,100,1410,1215,44,0
94,0.940223769,213.343000000,100,1410,1215,44,0
95,0.950224267,213.343000000,100,1410,1215,44,0
96,0.960223984,211.993000000,100,1410,1215,44,0
97,0.970223511,211.993000000,100,1410,1215,44,0
98,0.980223728,211.993000000,100,1410,1215,44,0
99,0.990223325,211.993000000,100,1410,1215,44,0
100,1.000223893,211.993000000,100,1410,1215,44,0
101,1.010223239,211.993000000,100,1410,1215,44,0
102,1.020223207,211.993000000,100,1410,1215,44,0
103,1.030223304,211.993000000,100,1410,1215,44,0
104,1.040227028,211.993000000,100,1410,1215,44,0
105,1.050223580,211.993000000,100,1410,1215,44,0
106,1.060223607,208.558000000,100,1410,1215,44,0
107,1.070223123,208.558000000,100,1410,1215,44,0
108,1.080228581,208.558000000,100,1410,1215,44,0
109,1.090222998,208.558000000,100,1410,1215,44,0
110,1.100224588,208.558000000,100,1410,1215,44,0
111,1.110225006,208.558000000,100,1410,1215,44,0
112,1.120225394,208.558000000,100,1410,1215,44,0
113,1.130229068,208.558000000,100,1410,1215,44,0
114,1.140225118,208.558000000,100,1410,1215,44,0
115,1.150223903,208.558000000,100,1410,1215,44,0
116,1.160224322,203.722000000,100,1410,1215,44,0
117,1.170224129,203.722000000,100,1410,1215,44,0
118,1.180224406,203.722000000,100,1410,1215,44,0
119,1.190223923,203.722000000,100,1410,1215,44,0
120,1.200224952,203.722000000,100,1410,1215,44,0
121,1.210224599,203.722000000,100,1410,1215,44,0
122,1.220225147,203.722000000,100,1410,1215,44,0
123,1.230223511,203.722000000,100,1410,1215,44,0
124,1.240228218,203.722000000,100,1410,1215,44,0
125,1.250224678,203.722000000,100,1410,1215,44,0
126,1.260225427,203.265000000,100,1410,1215,44,0
127,1.270224062,203.265000000,100,1410,1215,44,0
128,1.280223278,203.265000000,100,1410,1215,44,0
129,1.290224367,203.265000000,100,1410,1215,44,0
130,1.300223703,203.265000000,100,1410,1215,44,0
131,1.310223521,203.265000000,100,1410,1215,44,0
132,1.320227866,203.265000000,100,1410,1215,44,0
133,1.330223566,203.265000000,100,1410,1215,44,0
134,1.340227140,203.265000000,100,1410,1215,44,0
135,1.350223771,203.265000000,100,1410,1215,44,0
136,1.360224520,212.918000000,100,1410,1215,44,0
137,1.370223616,212.918000000,100,1410,1215,44,0
138,1.380224586,212.918000000,100,1410,1215,44,0
139,1.390223241,212.918000000,100,1410,1215,44,0
140,1.400224721,212.918000000,100,1410,1215,44,0
141,1.410224098,212.918000000,100,1410,1215,44,0
142,1.420228133,212.918000000,100,1410,1215,44,0
143,1.430224724,212.918000000,100,1410,1215,44,0
144,1.440223329,212.918000000,100,1410,1215,44,0
145,1.450222846,212.918000000,100,1410,1215,44,0
146,1.460224266,213.632000000,100,1410,1215,44,0
147,1.470223102,213.632000000,100,1410,1215,44,0
148,1.480224121,213.632000000,100,1410,1215,44,0
149,1.490223147,213.632000000,100,1410,1215,44,0
150,1.500224207,213.632000000,100,1410,1215,44,0
151,1.510223443,213.632000000,100,1410,1215,44,0
152,1.520224202,213.632000000,100,1410,1215,44,0
153,1.530250729,213.632000000,100,1410,1215,44,0
154,1.540227864,213.632000000,100,1410,1215,44,0
155,1.550223453,213.632000000,100,1410,1215,44,0
156,1.560224413,213.630000000,100,1410,1215,44,0
157,1.570223779,213.630000000,100,1410,1215,44,0
158,1.580223396,213.630000000,100,1410,1215,44,0
159,1.590223624,213.630000000,100,1410,1215,44,0
160,1.600223722,213.630000000,100,1410,1215,44,0
161,1.610223779,213.630000000,100,1410,1215,44,0
162,1.620223116,213.630000000,100,1410,1215,44,0
163,1.630222362,213.630000000,100,1410,1215,44,0
164,1.640223021,213.630000000,100,1410,1215,44,0
165,1.650223510,213.630000000,100,1410,1215,44,0
166,1.660223828,212.002000000,100,1410,1215,44,0
167,1.670222292,212.002000000,100,1410,1215,44,0
168,1.680223222,212.002000000,100,1410,1215,44,0
169,1.690224351,212.002000000,100,1410,1215,44,0
170,1.700222756,212.002000000,100,1410,1215,44,0
171,1.710222924,212.002000000,100,1410,1215,44,0
172,1.720223012,212.002000000,100,1410,1215,44,0
173,1.730223621,212.002000000,100,1410,1215,44,0
174,1.740224720,212.002000000,100,1410,1215,44,0
175,1.750223495,212.002000000,100,1410,1215,44,0
176,1.760224615,210.344000000,100,1410,1215,44,0
177,1.770224382,210.344000000,100,1410,1215,44,0
178,1.780224140,210.344000000,100,1410,1215,44,0
179,1.790223336,210.344000000,100,1410,1215,44,0
180,1.800224515,210.344000000,100,1410,1215,44,0
181,1.810222900,210.344000000,100,1410,1215,44,0
182,1.820223970,210.344000000,100,1410,1215,44,0
183,1.830227213,210.344000000,100,1410,1215,44,0
184,1.840223795,210.344000000,100,1410,1215,44,0
185,1.850223562,210.344000000,100,1410,1215,44,0
186,1.860224521,206.337000000,100,1410,1215,44,0
187,1.870223948,206.337000000,100,1410,1215,44,0
188,1.880223865,206.337000000,100,1410,1215,44,0
189,1.890222871,206.337000000,100,1410,1215,44,0
190,1.900223710,206.337000000,100,1410,1215,44,0
191,1.910223467,206.337000000,100,1410,1215,44,0
192,1.920223695,206.337000000,100,1410,1215,44,0
193,1.930223132,206.337000000,100,1410,1215,44,0
194,1.940223651,206.337000000,100,1410,1215,44,0
195,1.950225421,206.337000000,100,1410,1215,44,0
196,1.960224347,197.002000000,100,1410,1215,45,0
197,1.970223082,197.002000000,100,1410,1215,45,0
198,1.980223651,197.002000000,100,1410,1215,45,0
199,1.990223468,197.002000000,100,1410,1215,45,0
200,2.000223205,197.002000000,100,1410,1215,45,0
201,2.010223493,197.002000000,100,1410,1215,45,0
202,2.020224042,197.002000000,100,1410,1215,45,0
203,2.030231954,197.002000000,100,1410,1215,45,0
204,2.040226201,197.002000000,100,1410,1215,45,0
205,2.050222292,197.002000000,100,1410,1215,45,0
206,2.060227940,212.194000000,100,1410,1215,44,0
207,2.070227356,212.194000000,100,1410,1215,44,0
208,2.080227083,212.194000000,100,1410,1215,44,0
209,2.090223254,212.194000000,100,1410,1215,44,0
210,2.100222460,212.194000000,100,1410,1215,44,0
211,2.110223990,212.194000000,100,1410,1215,44,0
212,2.120222826,212.194000000,100,1410,1215,44,0
213,2.130223194,212.194000000,100,1410,1215,44,0
214,2.140227430,212.194000000,100,1410,1215,44,0
215,2.150223580,212.194000000,100,1410,1215,44,0
216,2.160224409,213.919000000,100,1410,1215,45,0
217,2.170222634,213.919000000,100,1410,1215,45,0
218,2.180223553,213.919000000,100,1410,1215,45,0
219,2.190225093,213.919000000,100,1410,1215,45,0
220,2.200226975,213.919000000,100,1410,1215,45,0
221,2.210222925,213.919000000,100,1410,1215,45,0
222,2.220224525,213.919000000,100,1410,1215,45,0
223,2.230223481,213.919000000,100,1410,1215,45,0
224,2.240223388,213.919000000,100,1410,1215,45,0
225,2.250223176,213.919000000,100,1410,1215,45,0
226,2.260223604,213.789000000,100,1410,1215,45,0
227,2.270223431,213.789000000,100,1410,1215,45,0
228,2.280223269,213.789000000,100,1410,1215,45,0
229,2.290223817,213.789000000,100,1410,1215,45,0
230,2.300224436,213.789000000,100,1410,1215,45,0
231,2.310224073,213.789000000,100,1410,1215,45,0
232,2.320223601,213.789000000,100,1410,1215,45,0
233,2.330224189,213.789000000,100,1410,1215,45,0
234,2.340224318,213.789000000,100,1410,1215,45,0
235,2.350223574,213.789000000,100,1410,1215,45,0
236,2.360224905,212.940000000,100,1410,1215,45,0
237,2.370222678,212.940000000,100,1410,1215,45,0
238,2.380224029,212.940000000,100,1410,1215,45,0
239,2.390223846,212.940000000,100,1410,1215,45,0
240,2.400223964,212.940000000,100,1410,1215,45,0
241,2.410223591,212.940000000,100,1410,1215,45,0
242,2.420223118,212.940000000,100,1410,1215,45,0
243,2.430223747,212.940000000,100,1410,1215,45,0
244,2.440223846,212.940000000,100,1410,1215,45,0
245,2.450223362,212.940000000,100,1410,1215,45,0
246,2.460224813,210.572000000,100,1410,1215,45,0
247,2.470223388,210.572000000,100,1410,1215,45,0
248,2.480228145,210.572000000,100,1410,1215,45,0
249,2.490223895,210.572000000,100,1410,1215,45,0
250,2.500222791,210.572000000,100,1410,1215,45,0
251,2.510224672,210.572000000,100,1410,1215,45,0
252,2.520228016,210.572000000,100,1410,1215,45,0
253,2.530223496,210.572000000,100,1410,1215,45,0
254,2.540222913,210.572000000,100,1410,1215,45,0
255,2.550223471,210.572000000,100,1410,1215,45,0
256,2.560228228,207.354000000,100,1410,1215,44,0
