opcode,load_xor_r1_full_instructions_executed_warp,load_xor_r2_full_instructions_executed_warp,xor_only_r1_full_instructions_executed_warp,xor_only_r2_full_instructions_executed_warp
BRA,949249152,949249152,949249152,949249152
EXIT,1728,1728,1728,1728
IADD3,949247424,949247424,527359680,527359680
IMAD,105484032,105484032,105478848,105478848
ISETP,949250880,949250880,949250880,949250880
LDG,6750203904,13500407808,0,0
LOP3,3375101952,6750203904,3375101952,6750203904
S2R,1728,1728,1728,1728
ULDC,3456,3456,0,0
USHF,5184,5184,0,0
