opcode,load_xor_r1_full_thread_instructions_executed,load_xor_r2_full_thread_instructions_executed,xor_only_r1_full_thread_instructions_executed,xor_only_r2_full_thread_instructions_executed
BRA,30375972864,30375972864,30375972864,30375972864
EXIT,55296,55296,55296,55296
IADD3,30375917568,30375917568,16875509760,16875509760
IMAD,3375489024,3375489024,3375323136,3375323136
ISETP,30376028160,30376028160,30376028160,30376028160
LDG,216006524928,432013049856,0,0
LOP3,108003262464,216006524928,108003262464,216006524928
S2R,55296,55296,55296,55296
ULDC,110592,110592,0,0
USHF,165888,165888,0,0
