opcode,load-xor_r1_instructions_executed_warp,load-xor_r2_instructions_executed_warp,xor-only_r1_instructions_executed_warp,xor-only_r2_instructions_executed_warp
BPT,0,0,0,0
BRA,0,0,0,0
EXIT,6400000,6400000,6400000,6400000
F2I,6400000,6400000,6400000,6400000
I2F,6400000,6400000,6400000,6400000
IADD3,19200000,19200000,19200000,19200000
IMAD,64000000,64000000,64000000,64000000
ISETP,25600000,25600000,25600000,25600000
LDG,409600000,819200000,0,0
LEA,12800000,12800000,12800000,12800000
LOP3,211200000,416000000,211200000,416000000
MUFU,6400000,6400000,6400000,6400000
NOP,0,0,0,0
S2R,12800000,12800000,12800000,12800000
ULDC,6400000,6400000,0,0
