opcode,load-xor_r1_predicated_on_thread_instructions,load-xor_r2_predicated_on_thread_instructions,xor-only_r1_predicated_on_thread_instructions,xor-only_r2_predicated_on_thread_instructions
BPT,0,0,0,0
BRA,0,0,0,0
EXIT,204800000,204800000,204800000,204800000
F2I,204800000,204800000,204800000,204800000
I2F,204800000,204800000,204800000,204800000
IADD3,211005440,211005440,211005440,211005440
IMAD,2048000000,2048000000,2048000000,2048000000
ISETP,819200000,819200000,819200000,819200000
LDG,13107200000,26214400000,0,0
LEA,409600000,409600000,409600000,409600000
LOP3,6553600000,13107200000,6553600000,13107200000
MUFU,204800000,204800000,204800000,204800000
NOP,0,0,0,0
S2R,409600000,409600000,409600000,409600000
ULDC,204800000,204800000,0,0
