opcode,load-xor_r1_thread_instructions_executed,load-xor_r2_thread_instructions_executed,xor-only_r1_thread_instructions_executed,xor-only_r2_thread_instructions_executed
BPT,0,0,0,0
BRA,0,0,0,0
EXIT,204800000,204800000,204800000,204800000
F2I,204800000,204800000,204800000,204800000
I2F,204800000,204800000,204800000,204800000
IADD3,614400000,614400000,614400000,614400000
IMAD,2048000000,2048000000,2048000000,2048000000
ISETP,819200000,819200000,819200000,819200000
LDG,13107200000,26214400000,0,0
LEA,409600000,409600000,409600000,409600000
LOP3,6758400000,13312000000,6758400000,13312000000
MUFU,204800000,204800000,204800000,204800000
NOP,0,0,0,0
S2R,409600000,409600000,409600000,409600000
ULDC,204800000,204800000,0,0
