opcode,warp_instructions_executed,thread_instructions_executed,predicated_on_thread_instructions_executed
LDG,409600000,13107200000,13107200000
LOP3,211200000,6758400000,6553600000
IMAD,64000000,2048000000,2048000000
ISETP,25600000,819200000,819200000
IADD3,19200000,614400000,211005440
LEA,12800000,409600000,409600000
S2R,12800000,409600000,409600000
EXIT,6400000,204800000,204800000
F2I,6400000,204800000,204800000
I2F,6400000,204800000,204800000
MUFU,6400000,204800000,204800000
ULDC,6400000,204800000,204800000
BPT,0,0,0
BRA,0,0,0
NOP,0,0,0
