sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.002367281,252.975000000,100,1380,1215,51,4
1,0.010235511,252.975000000,100,1380,1215,51,4
2,0.020233275,249.886000000,100,1380,1215,51,4
3,0.030232683,249.886000000,100,1380,1215,51,4
4,0.040231830,249.886000000,100,1380,1215,51,4
5,0.050232460,249.886000000,100,1380,1215,51,4
6,0.060231497,249.886000000,100,1380,1215,51,4
7,0.070231626,249.886000000,100,1380,1215,51,4
8,0.080231985,249.886000000,100,1380,1215,51,4
9,0.090233186,249.886000000,100,1380,1215,51,4
10,0.100230931,249.886000000,100,1380,1215,51,4
11,0.110231180,249.886000000,100,1380,1215,51,4
12,0.120232381,236.016000000,96,1380,1215,51,4
13,0.130232680,236.016000000,96,1380,1215,51,4
14,0.140232248,236.016000000,96,1380,1215,51,4
15,0.150231285,236.016000000,96,1380,1215,51,4
16,0.160232196,236.016000000,96,1380,1215,51,4
17,0.170231714,236.016000000,96,1380,1215,51,4
18,0.180231953,236.016000000,96,1380,1215,51,4
19,0.190231451,236.016000000,96,1380,1215,51,4
20,0.200232822,236.016000000,96,1380,1215,51,4
21,0.210235506,236.016000000,96,1380,1215,51,4
22,0.220233250,252.899000000,96,1365,1215,51,4
23,0.230230814,252.899000000,96,1365,1215,51,4
24,0.240232516,252.899000000,96,1365,1215,51,4
25,0.250232695,252.899000000,96,1365,1215,51,4
26,0.260231612,252.899000000,96,1365,1215,51,4
27,0.270232673,252.899000000,96,1365,1215,51,4
28,0.280232041,252.899000000,96,1365,1215,51,4
29,0.290235005,252.899000000,96,1365,1215,51,4
30,0.300231868,252.899000000,96,1365,1215,51,4
31,0.310231345,252.899000000,96,1365,1215,51,4
32,0.320232406,246.829000000,100,1365,1215,51,4
33,0.330230601,246.829000000,100,1365,1215,51,4
34,0.340232003,246.829000000,100,1365,1215,51,4
35,0.350232102,246.829000000,100,1365,1215,51,4
36,0.360231469,246.829000000,100,1365,1215,51,4
37,0.370231759,246.829000000,100,1365,1215,51,4
38,0.380231156,246.829000000,100,1365,1215,51,4
39,0.390231385,246.829000000,100,1365,1215,51,4
40,0.400231074,246.829000000,100,1365,1215,51,4
41,0.410231984,246.829000000,100,1365,1215,51,4
42,0.420236201,246.434000000,100,1365,1215,51,4
43,0.430232082,246.434000000,100,1365,1215,51,4
44,0.440232121,246.434000000,100,1365,1215,51,4
45,0.450230967,246.434000000,100,1365,1215,51,4
46,0.460231998,246.434000000,100,1365,1215,51,4
47,0.470231706,246.434000000,100,1365,1215,51,4
48,0.480231725,246.434000000,100,1365,1215,51,4
49,0.490230431,246.434000000,100,1365,1215,51,4
50,0.500232163,246.434000000,100,1365,1215,51,4
51,0.510230900,246.434000000,100,1365,1215,51,4
52,0.520236469,246.433000000,100,1380,1215,51,4
53,0.530231488,246.433000000,100,1380,1215,51,4
54,0.540236797,246.433000000,100,1380,1215,51,4
55,0.550235193,246.433000000,100,1380,1215,51,4
56,0.560232126,246.433000000,100,1380,1215,51,4
57,0.570231964,246.433000000,100,1380,1215,51,4
58,0.580231111,246.433000000,100,1380,1215,51,4
59,0.590231902,246.433000000,100,1380,1215,51,4
60,0.600234826,246.433000000,100,1380,1215,51,4
61,0.610232099,246.433000000,100,1380,1215,51,4
62,0.620232429,253.075000000,100,1380,1215,51,4
63,0.630231446,253.075000000,100,1380,1215,51,4
64,0.640232176,253.075000000,100,1380,1215,51,4
65,0.650232535,253.075000000,100,1380,1215,51,4
66,0.660231402,253.075000000,100,1380,1215,51,4
67,0.670230629,253.075000000,100,1380,1215,51,4
68,0.680234034,253.075000000,100,1380,1215,51,4
69,0.690232430,253.075000000,100,1380,1215,51,4
70,0.700231717,253.075000000,100,1380,1215,51,4
71,0.710231977,253.075000000,100,1380,1215,51,4
72,0.720231785,253.268000000,100,1380,1215,51,4
73,0.730231463,253.268000000,100,1380,1215,51,4
74,0.740230710,253.268000000,100,1380,1215,51,4
75,0.750235338,253.268000000,100,1380,1215,51,4
76,0.760231690,253.268000000,100,1380,1215,51,4
77,0.770230857,253.268000000,100,1380,1215,51,4
78,0.780231838,253.268000000,100,1380,1215,51,4
79,0.790231586,253.268000000,100,1380,1215,51,4
80,0.800231575,253.268000000,100,1380,1215,51,4
81,0.810231614,253.268000000,100,1380,1215,51,4
82,0.820232243,252.981000000,100,1380,1215,51,4
83,0.830231831,252.981000000,100,1380,1215,51,4
84,0.840231900,252.981000000,100,1380,1215,51,4
85,0.850232190,252.981000000,100,1380,1215,51,4
86,0.860230846,252.981000000,100,1380,1215,51,4
87,0.870231335,252.981000000,100,1380,1215,51,4
88,0.880231154,252.981000000,100,1380,1215,51,4
89,0.890231794,252.981000000,100,1380,1215,51,4
90,0.900231412,252.981000000,100,1380,1215,51,4
91,0.910231050,252.981000000,100,1380,1215,51,4
92,0.920233373,253.266000000,100,1350,1215,51,4
93,0.930231358,253.266000000,100,1350,1215,51,4
94,0.940231166,253.266000000,100,1350,1215,51,4
95,0.950231195,253.266000000,100,1350,1215,51,4
96,0.960231585,253.266000000,100,1350,1215,51,4
97,0.970232004,253.266000000,100,1350,1215,51,4
98,0.980231702,253.266000000,100,1350,1215,51,4
99,0.990231300,253.266000000,100,1350,1215,51,4
100,1.000231219,253.266000000,100,1350,1215,51,4
101,1.010230817,253.266000000,100,1350,1215,51,4
102,1.020231707,236.872000000,100,1365,1215,51,4
103,1.030231806,236.872000000,100,1365,1215,51,4
104,1.040231274,236.872000000,100,1365,1215,51,4
105,1.050231503,236.872000000,100,1365,1215,51,4
106,1.060231372,236.872000000,100,1365,1215,51,4
107,1.070232923,236.872000000,100,1365,1215,51,4
108,1.080236759,236.872000000,100,1365,1215,51,4
109,1.090237119,236.872000000,100,1365,1215,51,4
110,1.100231988,236.872000000,100,1365,1215,51,4
111,1.110235493,236.872000000,100,1365,1215,51,4
112,1.120233318,246.265000000,100,1380,1215,51,4
113,1.130231613,246.265000000,100,1380,1215,51,4
114,1.140231632,246.265000000,100,1380,1215,51,4
115,1.150233144,246.265000000,100,1380,1215,51,4
116,1.160232341,246.265000000,100,1380,1215,51,4
117,1.170233021,246.265000000,100,1380,1215,51,4
118,1.180233000,246.265000000,100,1380,1215,51,4
119,1.190233620,246.265000000,100,1380,1215,51,4
120,1.200232266,246.265000000,100,1380,1215,51,4
121,1.210231894,246.265000000,100,1380,1215,51,4
122,1.220232374,248.482000000,100,1380,1215,51,4
123,1.230231891,248.482000000,100,1380,1215,51,4
124,1.240231670,248.482000000,100,1380,1215,51,4
125,1.250231178,248.482000000,100,1380,1215,51,4
126,1.260231246,248.482000000,100,1380,1215,51,4
127,1.270231947,248.482000000,100,1380,1215,51,4
128,1.280231725,248.482000000,100,1380,1215,51,4
129,1.290236292,248.482000000,100,1380,1215,51,4
130,1.300231722,248.482000000,100,1380,1215,51,4
131,1.310232102,248.482000000,100,1380,1215,51,4
132,1.320232782,253.193000000,100,1365,1215,51,4
133,1.330231348,253.193000000,100,1365,1215,51,4
134,1.340231547,253.193000000,100,1365,1215,51,4
135,1.350233089,253.193000000,100,1365,1215,51,4
136,1.360232436,253.193000000,100,1365,1215,51,4
137,1.370236653,253.193000000,100,1365,1215,51,4
138,1.380231743,253.193000000,100,1365,1215,51,4
139,1.390231631,253.193000000,100,1365,1215,51,4
140,1.400232732,253.193000000,100,1365,1215,51,4
141,1.410231679,253.193000000,100,1365,1215,51,4
142,1.420231637,246.829000000,100,1365,1215,51,4
143,1.430231616,246.829000000,100,1365,1215,51,4
144,1.440235251,246.829000000,100,1365,1215,51,4
145,1.450231954,246.829000000,100,1365,1215,51,4
146,1.460230991,246.829000000,100,1365,1215,51,4
147,1.470231581,246.829000000,100,1365,1215,51,4
148,1.480234595,246.829000000,100,1365,1215,51,4
149,1.490231869,246.829000000,100,1365,1215,51,4
150,1.500232158,246.829000000,100,1365,1215,51,4
151,1.510230885,246.829000000,100,1365,1215,51,4
152,1.520231635,249.847000000,100,1380,1215,51,4
153,1.530231664,249.847000000,100,1380,1215,51,4
154,1.540235720,249.847000000,100,1380,1215,51,4
155,1.550231000,249.847000000,100,1380,1215,51,4
156,1.560231189,249.847000000,100,1380,1215,51,4
157,1.570232049,249.847000000,100,1380,1215,51,4
158,1.580230515,249.847000000,100,1380,1215,51,4
159,1.590230995,249.847000000,100,1380,1215,51,4
160,1.600231374,249.847000000,100,1380,1215,51,4
161,1.610232255,249.847000000,100,1380,1215,51,4
162,1.620232794,253.192000000,100,1380,1215,52,4
163,1.630231611,253.192000000,100,1380,1215,52,4
164,1.640231470,253.192000000,100,1380,1215,52,4
165,1.650230837,253.192000000,100,1380,1215,52,4
166,1.660232168,253.192000000,100,1380,1215,52,4
167,1.670232097,253.192000000,100,1380,1215,52,4
168,1.680231374,253.192000000,100,1380,1215,52,4
169,1.690232495,253.192000000,100,1380,1215,52,4
170,1.700231442,253.192000000,100,1380,1215,52,4
171,1.710231521,253.192000000,100,1380,1215,52,4
172,1.720231880,253.288000000,100,1380,1215,52,4
173,1.730231468,253.288000000,100,1380,1215,52,4
174,1.740232178,253.288000000,100,1380,1215,52,4
175,1.750232417,253.288000000,100,1380,1215,52,4
176,1.760231434,253.288000000,100,1380,1215,52,4
177,1.770231433,253.288000000,100,1380,1215,52,4
178,1.780230620,253.288000000,100,1380,1215,52,4
179,1.790231010,253.288000000,100,1380,1215,52,4
180,1.800231109,253.288000000,100,1380,1215,52,4
181,1.810231729,253.288000000,100,1380,1215,52,4
182,1.820231707,253.466000000,100,1365,1215,52,4
183,1.830235313,253.466000000,100,1365,1215,52,4
184,1.840232176,253.466000000,100,1365,1215,52,4
185,1.850230792,253.466000000,100,1365,1215,52,4
186,1.860232143,253.466000000,100,1365,1215,52,4
187,1.870231611,253.466000000,100,1365,1215,52,4
188,1.880232151,253.466000000,100,1365,1215,52,4
189,1.890232230,253.466000000,100,1365,1215,52,4
190,1.900231607,253.466000000,100,1365,1215,52,4
191,1.910231205,253.466000000,100,1365,1215,52,4
192,1.920231605,247.318000000,100,1365,1215,52,4
193,1.930230802,247.318000000,100,1365,1215,52,4
194,1.940231552,247.318000000,100,1365,1215,52,4
195,1.950231942,247.318000000,100,1365,1215,52,4
196,1.960230828,247.318000000,100,1365,1215,52,4
197,1.970234915,247.318000000,100,1365,1215,52,4
198,1.980232379,247.318000000,100,1365,1215,52,4
199,1.990231536,247.318000000,100,1365,1215,52,4
200,2.000231214,247.318000000,100,1365,1215,52,4
201,2.010231273,247.318000000,100,1365,1215,52,4
202,2.020232023,246.908000000,100,1365,1215,51,4
203,2.030231140,246.908000000,100,1365,1215,51,4
204,2.040232431,246.908000000,100,1365,1215,51,4
205,2.050230967,246.908000000,100,1365,1215,51,4
206,2.060231206,246.908000000,100,1365,1215,51,4
207,2.070231075,246.908000000,100,1365,1215,51,4
208,2.080230873,246.908000000,100,1365,1215,51,4
209,2.090230732,246.908000000,100,1365,1215,51,4
