sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.002179639,183.907000000,100,1410,1215,44,0
1,0.010230521,183.907000000,100,1410,1215,44,0
2,0.020226623,183.907000000,100,1410,1215,44,0
3,0.030228515,183.964000000,100,1410,1215,44,0
4,0.040227572,183.964000000,100,1410,1215,44,0
5,0.050226448,183.964000000,100,1410,1215,44,0
6,0.060226106,183.964000000,100,1410,1215,44,0
7,0.070224882,183.964000000,100,1410,1215,44,0
8,0.080225913,183.964000000,100,1410,1215,44,0
9,0.090227965,183.964000000,100,1410,1215,44,0
10,0.100228585,183.964000000,100,1410,1215,44,0
11,0.110229255,183.964000000,100,1410,1215,44,0
12,0.120228943,183.964000000,100,1410,1215,44,0
13,0.130228060,180.553000000,100,1410,1215,44,0
14,0.140231355,180.553000000,100,1410,1215,44,0
15,0.150227837,180.553000000,100,1410,1215,44,0
16,0.160227715,180.553000000,100,1410,1215,44,0
17,0.170227133,180.553000000,100,1410,1215,44,0
18,0.180227752,180.553000000,100,1410,1215,44,0
19,0.190229855,180.553000000,100,1410,1215,44,0
20,0.200228240,180.553000000,100,1410,1215,44,0
21,0.210227989,180.553000000,100,1410,1215,44,0
22,0.220229971,180.553000000,100,1410,1215,44,0
23,0.230228868,183.996000000,100,1410,1215,44,0
24,0.240228355,183.996000000,96,1410,1215,44,0
25,0.250227943,183.996000000,96,1410,1215,44,0
26,0.260228312,183.996000000,96,1410,1215,44,0
27,0.270227980,183.996000000,96,1410,1215,44,0
28,0.280227628,183.996000000,96,1410,1215,44,0
29,0.290228889,183.996000000,96,1410,1215,44,0
30,0.300232915,183.996000000,96,1410,1215,44,0
31,0.310231802,183.996000000,96,1410,1215,44,0
32,0.320229707,183.996000000,96,1410,1215,44,0
33,0.330229264,183.958000000,96,1410,1215,44,0
34,0.340229303,183.958000000,96,1410,1215,44,0
35,0.350230404,183.958000000,96,1410,1215,44,0
36,0.360230222,183.958000000,96,1410,1215,44,0
37,0.370227515,183.958000000,96,1410,1215,44,0
38,0.380228306,183.958000000,96,1410,1215,44,0
39,0.390227392,183.958000000,96,1410,1215,44,0
40,0.400227291,183.958000000,96,1410,1215,44,0
41,0.410227420,183.958000000,96,1410,1215,44,0
42,0.420227328,183.958000000,96,1410,1215,44,0
43,0.430228599,184.060000000,96,1410,1215,44,0
44,0.440227716,184.060000000,100,1410,1215,44,0
45,0.450231422,184.060000000,100,1410,1215,44,0
46,0.460227593,184.060000000,100,1410,1215,44,0
47,0.470227261,184.060000000,100,1410,1215,44,0
48,0.480227961,184.060000000,100,1410,1215,44,0
49,0.490229152,184.060000000,100,1410,1215,44,0
50,0.500228409,184.060000000,100,1410,1215,44,0
51,0.510227646,184.060000000,100,1410,1215,44,0
52,0.520228757,184.060000000,100,1410,1215,44,0
53,0.530229767,184.247000000,100,1410,1215,44,0
54,0.540228363,184.247000000,100,1410,1215,44,0
55,0.550228702,184.247000000,100,1410,1215,44,0
56,0.560228240,184.247000000,100,1410,1215,44,0
57,0.570227658,184.247000000,100,1410,1215,44,0
58,0.580227656,184.247000000,100,1410,1215,44,0
59,0.590227885,184.247000000,100,1410,1215,44,0
60,0.600227223,184.247000000,100,1410,1215,44,0
61,0.610217463,184.247000000,100,1410,1215,44,0
62,0.620227360,184.247000000,100,1410,1215,44,0
63,0.630227469,184.150000000,100,1410,1215,44,0
64,0.640226045,184.150000000,100,1410,1215,45,0
65,0.650226825,184.150000000,100,1410,1215,45,0
66,0.660226102,184.150000000,100,1410,1215,45,0
67,0.670227012,184.150000000,100,1410,1215,45,0
68,0.680227372,184.150000000,100,1410,1215,45,0
69,0.690226028,184.150000000,100,1410,1215,45,0
70,0.700228712,184.150000000,100,1410,1215,45,0
71,0.710226015,184.150000000,100,1410,1215,45,0
72,0.720225703,184.150000000,100,1410,1215,45,0
73,0.730225682,184.253000000,100,1410,1215,45,0
74,0.740226462,184.253000000,100,1410,1215,45,0
75,0.750226200,184.253000000,100,1410,1215,45,0
76,0.760225637,184.253000000,100,1410,1215,45,0
77,0.770226718,184.253000000,100,1410,1215,45,0
78,0.780225364,184.253000000,100,1410,1215,45,0
79,0.790224962,184.253000000,100,1410,1215,45,0
80,0.800225592,184.253000000,100,1410,1215,45,0
81,0.810228005,184.253000000,100,1410,1215,45,0
82,0.820226330,184.253000000,100,1410,1215,45,0
83,0.830228543,184.151000000,100,1410,1215,45,0
84,0.840227169,184.151000000,100,1410,1215,45,0
85,0.850225464,184.151000000,100,1410,1215,45,0
86,0.860230983,184.151000000,100,1410,1215,45,0
87,0.870228337,184.151000000,100,1410,1215,45,0
88,0.880227514,184.151000000,100,1410,1215,45,0
89,0.890228635,184.151000000,100,1410,1215,45,0
90,0.900227692,184.151000000,100,1410,1215,45,0
91,0.910230015,184.151000000,100,1410,1215,45,0
92,0.920227919,184.151000000,100,1410,1215,45,0
93,0.930227427,184.258000000,100,1410,1215,45,0
94,0.940228287,184.258000000,100,1410,1215,45,0
95,0.950229197,184.258000000,100,1410,1215,45,0
96,0.960229206,184.258000000,100,1410,1215,45,0
97,0.970228163,184.258000000,100,1410,1215,45,0
98,0.980228622,184.258000000,100,1410,1215,45,0
99,0.990228861,184.258000000,100,1410,1215,45,0
100,1.000226916,184.258000000,100,1410,1215,45,0
101,1.010229520,184.258000000,100,1410,1215,45,0
102,1.020228236,184.258000000,100,1410,1215,45,0
103,1.030228535,184.138000000,100,1410,1215,45,0
104,1.040228113,184.138000000,100,1410,1215,45,0
105,1.050229354,184.138000000,100,1410,1215,45,0
106,1.060228611,184.138000000,100,1410,1215,45,0
107,1.070228079,184.138000000,100,1410,1215,45,0
108,1.080228428,184.138000000,100,1410,1215,45,0
109,1.090228637,184.138000000,100,1410,1215,45,0
110,1.100227664,184.138000000,100,1410,1215,45,0
111,1.110228734,184.138000000,100,1410,1215,45,0
112,1.120227991,184.138000000,100,1410,1215,45,0
113,1.130227559,183.946000000,100,1410,1215,45,0
114,1.140229411,183.946000000,100,1410,1215,45,0
115,1.150227677,183.946000000,100,1410,1215,45,0
116,1.160226052,183.946000000,100,1410,1215,45,0
117,1.170225470,183.946000000,100,1410,1215,45,0
118,1.180225458,183.946000000,100,1410,1215,45,0
119,1.190225818,183.946000000,100,1410,1215,45,0
120,1.200226267,183.946000000,100,1410,1215,45,0
121,1.210226777,183.946000000,100,1410,1215,45,0
122,1.220225583,183.946000000,100,1410,1215,45,0
