"Kernel Name","<unnamed>::nanosleepKernel(unsigned long, unsigned int)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Derivative Avg. Predicated-On Threads Executed","Avg. Predicated-On Threads Unexecuted","Divergent Branches","L1 Conflicts Shared N-Way","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7cd1d7279600","      IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28]","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279610","      ISETP.NE.U32.AND P0, PT, RZ, c[0x0][0x160], PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279620","      ISETP.NE.AND.EX P0, PT, RZ, c[0x0][0x164], PT, P0","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279630","@!P0  EXIT","0","0","0","6912","221184","0","32","0","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279640","      IMAD.MOV.U32 R0, RZ, RZ, 0x1","0","0","0","6912","221184","221184","32","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279650","      UMOV UR6, 0x3","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279660","      IMAD.MOV.U32 R2, RZ, RZ, c[0x0][0x164]","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279670","      ULDC UR4, c[0x0][0x160]","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279680","      IADD3 R0, P1, -R0, c[0x0][0x160], RZ","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d7279690","      ULOP3.LUT UR6, UR6, UR4, URZ, 0xc0, !UPT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d72796a0","      ISETP.GE.U32.AND P0, PT, R0, 0x3, PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d72796b0","      IADD3.X R0, R2, -0x1, RZ, P1, !PT","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7cd1d72796c0","      ISETP.GE.U32.AND.EX P0, PT, R0, RZ, PT, P0","0","0","0","6912","221184","221184","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
