sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.002580234,33.002000000,0,210,1215,27,1
1,0.010165444,33.002000000,0,210,1215,27,1
2,0.020163183,33.002000000,0,210,1215,27,1
3,0.030164790,33.002000000,0,210,1215,27,1
4,0.040161908,33.002000000,0,210,1215,27,1
5,0.050162874,33.002000000,0,210,1215,27,1
6,0.060162727,33.002000000,0,210,1215,27,1
7,0.070163091,33.002000000,0,210,1215,27,1
8,0.080162905,33.002000000,0,210,1215,27,1
9,0.090163700,33.184000000,0,210,1215,27,1
10,0.100163633,33.184000000,0,210,1215,27,1
11,0.110164388,33.184000000,0,210,1215,27,1
12,0.120163270,33.184000000,0,210,1215,27,1
13,0.130163694,33.184000000,0,210,1215,27,1
14,0.140163307,33.184000000,0,210,1215,27,1
15,0.150164082,33.184000000,0,210,1215,27,1
16,0.160163515,33.184000000,0,210,1215,27,1
17,0.170163509,33.184000000,0,210,1215,27,1
18,0.180162400,33.184000000,0,210,1215,27,1
19,0.190163506,33.091000000,0,210,1215,27,1
20,0.200163319,33.091000000,0,210,1215,27,1
21,0.210162291,33.091000000,0,210,1215,27,1
22,0.220162214,33.091000000,0,210,1215,27,1
23,0.230163139,33.091000000,0,210,1215,27,1
24,0.240162773,33.091000000,0,210,1215,27,1
25,0.250162776,33.091000000,0,210,1215,27,1
26,0.260164393,33.091000000,0,210,1215,27,1
27,0.270194984,33.091000000,0,210,1215,27,1
28,0.280162687,33.091000000,0,210,1215,27,1
29,0.290166498,33.086000000,0,210,1215,27,1
30,0.300163105,33.086000000,0,210,1215,27,1
31,0.310161466,33.086000000,0,210,1215,27,1
32,0.320162671,33.086000000,0,210,1215,27,1
33,0.330162675,33.086000000,0,210,1215,27,1
34,0.340162088,33.086000000,0,210,1215,27,1
35,0.350161750,33.086000000,0,210,1215,27,1
36,0.360162506,33.086000000,0,210,1215,27,1
37,0.370162569,33.086000000,0,210,1215,27,1
38,0.380162964,33.086000000,0,210,1215,27,1
39,0.390164009,33.073000000,0,210,1215,27,1
40,0.400162650,33.073000000,0,210,1215,27,1
41,0.410163075,33.073000000,0,210,1215,27,1
42,0.420163128,33.073000000,0,210,1215,27,1
43,0.430198348,33.073000000,0,210,1215,27,1
44,0.440168997,33.073000000,0,210,1215,27,1
45,0.450164392,33.073000000,0,210,1215,27,1
46,0.460170307,33.073000000,0,210,1215,27,1
47,0.470162926,33.073000000,0,210,1215,27,1
48,0.480162790,33.073000000,0,210,1215,27,1
49,0.490163054,32.883000000,0,210,1215,27,1
50,0.500162657,32.883000000,0,210,1215,27,1
51,0.510162740,32.883000000,0,210,1215,27,1
52,0.520162433,32.883000000,0,210,1215,27,1
53,0.530163740,32.883000000,0,210,1215,27,1
54,0.540161970,32.883000000,0,210,1215,27,1
55,0.550161773,32.883000000,0,210,1215,27,1
56,0.560162598,32.883000000,0,210,1215,27,1
57,0.570163473,32.883000000,0,210,1215,27,1
58,0.580162686,32.883000000,0,210,1215,27,1
59,0.590163631,32.974000000,0,210,1215,27,1
60,0.600163635,32.974000000,0,210,1215,27,1
61,0.610163238,32.974000000,0,210,1215,27,1
62,0.620169223,32.974000000,0,210,1215,27,1
63,0.630162604,32.974000000,0,210,1215,27,1
64,0.640164230,32.974000000,0,210,1215,27,1
65,0.650163793,32.974000000,0,210,1215,27,1
66,0.660162935,32.974000000,0,210,1215,27,1
67,0.670163229,32.974000000,0,210,1215,27,1
68,0.680163013,32.974000000,0,210,1215,27,1
69,0.690162956,33.190000000,0,210,1215,27,1
70,0.700163942,33.190000000,0,210,1215,27,1
71,0.710162773,33.190000000,0,210,1215,27,1
72,0.720165552,33.190000000,0,210,1215,27,1
73,0.730162911,33.190000000,0,210,1215,27,1
74,0.740162704,33.190000000,0,210,1215,27,1
75,0.750162327,33.190000000,0,210,1215,27,1
76,0.760161869,33.190000000,0,210,1215,27,1
77,0.770163606,33.190000000,0,210,1215,27,1
78,0.780162538,33.190000000,0,210,1215,27,1
79,0.790163614,33.092000000,0,210,1215,27,1
80,0.800163116,33.092000000,0,210,1215,27,1
81,0.810162639,33.092000000,0,210,1215,27,1
82,0.820162703,33.092000000,0,210,1215,27,1
83,0.830163308,33.092000000,0,210,1215,27,1
