sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.002577656,32.981000000,0,210,1215,27,1
1,0.010237719,32.981000000,0,210,1215,27,1
2,0.020235348,32.981000000,0,210,1215,27,1
3,0.030235091,32.981000000,0,210,1215,27,1
4,0.040237408,32.981000000,0,210,1215,27,1
5,0.050234286,32.884000000,0,210,1215,27,1
6,0.060242104,32.884000000,0,210,1215,27,1
7,0.070242608,32.884000000,0,210,1215,27,1
8,0.080236380,32.884000000,0,210,1215,27,1
9,0.090239619,32.884000000,0,210,1215,27,1
10,0.100239793,32.884000000,0,210,1215,27,1
11,0.110240778,32.884000000,0,210,1215,27,1
12,0.120237255,32.884000000,0,210,1215,27,1
13,0.130237328,32.884000000,0,210,1215,27,1
14,0.140245877,32.884000000,0,210,1215,27,1
15,0.150234620,32.884000000,0,210,1215,27,1
16,0.160236797,33.079000000,0,210,1215,27,1
17,0.170234917,33.079000000,0,210,1215,27,1
18,0.180245159,33.079000000,0,210,1215,27,1
19,0.190238470,33.079000000,0,210,1215,27,1
20,0.200241970,33.079000000,0,210,1215,27,1
21,0.210236894,33.079000000,0,210,1215,27,1
22,0.220235284,33.079000000,0,210,1215,27,1
23,0.230238734,33.079000000,0,210,1215,27,1
24,0.240238517,33.079000000,0,210,1215,27,1
25,0.250238941,32.975000000,0,210,1215,27,1
26,0.260238984,32.975000000,0,210,1215,27,1
27,0.270238757,32.975000000,0,210,1215,27,1
28,0.280238971,32.975000000,0,210,1215,27,1
29,0.290234566,32.975000000,0,210,1215,27,1
30,0.300238697,32.975000000,0,210,1215,27,1
31,0.310237789,32.975000000,0,210,1215,27,1
32,0.320237181,32.975000000,0,210,1215,27,1
33,0.330236483,32.975000000,0,210,1215,27,1
34,0.340238931,32.975000000,0,210,1215,27,1
35,0.350236840,32.884000000,0,210,1215,27,1
36,0.360234629,32.884000000,0,210,1215,27,1
37,0.370234733,32.884000000,0,210,1215,27,1
38,0.380237962,32.884000000,0,210,1215,27,1
39,0.390238436,32.884000000,0,210,1215,27,1
40,0.400236506,32.884000000,0,210,1215,27,1
41,0.410236920,32.884000000,0,210,1215,27,1
42,0.420236523,32.884000000,0,210,1215,27,1
43,0.430248489,32.884000000,0,210,1215,27,1
44,0.440235718,32.884000000,0,210,1215,27,1
45,0.450237875,32.884000000,0,210,1215,27,1
46,0.460239872,32.995000000,0,210,1215,27,1
47,0.470234506,32.995000000,0,210,1215,27,1
48,0.480237835,32.995000000,0,210,1215,27,1
49,0.490235193,32.995000000,0,210,1215,27,1
50,0.500238052,32.995000000,0,210,1215,27,1
51,0.510235290,32.995000000,0,210,1215,27,1
52,0.520233981,32.995000000,0,210,1215,27,1
53,0.530234105,32.995000000,0,210,1215,27,1
54,0.540239027,32.995000000,0,210,1215,27,1
55,0.550236907,32.995000000,0,210,1215,27,1
56,0.560234155,32.786000000,0,210,1215,27,1
57,0.570236202,32.786000000,0,210,1215,27,1
58,0.580241455,32.786000000,0,210,1215,27,1
59,0.590254763,32.786000000,0,210,1215,27,1
60,0.600236883,32.786000000,0,210,1215,27,1
61,0.610235834,32.786000000,0,210,1215,27,1
62,0.620238853,32.786000000,0,210,1215,27,1
63,0.630234789,32.786000000,0,210,1215,27,1
64,0.640233760,32.786000000,0,210,1215,27,1
65,0.650235186,32.786000000,0,210,1215,27,1
66,0.660236512,32.883000000,0,210,1215,27,1
67,0.670237788,32.883000000,0,210,1215,27,1
68,0.680236058,32.883000000,0,210,1215,27,1
69,0.690236672,32.883000000,0,210,1215,27,1
70,0.700235664,32.883000000,0,210,1215,27,1
71,0.710238482,32.883000000,0,210,1215,27,1
72,0.720235380,32.883000000,0,210,1215,27,1
73,0.730235233,32.883000000,0,210,1215,27,1
74,0.740239184,32.883000000,0,210,1215,27,1
75,0.750239698,32.883000000,0,210,1215,27,1
76,0.760240853,32.989000000,0,210,1215,27,1
77,0.770236158,32.989000000,0,210,1215,27,1
78,0.780237975,32.989000000,0,210,1215,27,1
79,0.790243629,32.989000000,0,210,1215,27,1
80,0.800237470,32.989000000,0,210,1215,27,1
81,0.810242483,32.989000000,0,210,1215,27,1
82,0.820237687,32.989000000,0,210,1215,27,1
83,0.830241418,32.989000000,0,210,1215,27,1
84,0.840235871,32.989000000,0,210,1215,27,1
85,0.850235113,33.197000000,0,210,1215,27,1
86,0.860236278,33.197000000,0,210,1215,27,1
87,0.870236913,33.197000000,0,210,1215,27,1
88,0.880239360,33.197000000,0,210,1215,27,1
89,0.890235827,33.197000000,0,210,1215,27,1
90,0.900236001,33.197000000,0,210,1215,27,1
91,0.910238549,33.197000000,0,210,1215,27,1
92,0.920238412,33.197000000,0,210,1215,27,1
93,0.930238616,33.197000000,0,210,1215,27,1
94,0.940235673,33.197000000,0,210,1215,27,1
95,0.950239895,32.786000000,0,210,1215,27,1
96,0.960235770,32.786000000,0,210,1215,27,1
97,0.970235673,32.786000000,0,210,1215,27,1
98,0.980235116,32.786000000,0,210,1215,27,1
99,0.990237704,32.786000000,0,210,1215,27,1
100,1.000235413,32.786000000,0,210,1215,27,1
101,1.010234074,32.786000000,0,210,1215,27,1
102,1.020238666,32.786000000,0,210,1215,27,1
103,1.030238358,32.786000000,0,210,1215,27,1
104,1.040234665,32.786000000,0,210,1215,27,1
105,1.050234929,32.986000000,0,210,1215,27,1
106,1.060235633,32.986000000,0,210,1215,27,1
107,1.070238452,32.986000000,0,210,1215,27,1
108,1.080235279,32.986000000,0,210,1215,27,1
109,1.090234271,32.986000000,0,210,1215,27,1
110,1.100235095,32.986000000,0,210,1215,27,1
111,1.110237403,32.986000000,0,210,1215,27,1
112,1.120236885,32.986000000,0,210,1215,27,1
113,1.130237320,32.986000000,0,210,1215,27,1
114,1.140236612,32.986000000,0,210,1215,27,1
115,1.150239270,33.092000000,0,210,1215,27,1
116,1.160240185,33.092000000,0,210,1215,27,1
117,1.170237092,33.092000000,0,210,1215,27,1
118,1.180235613,33.092000000,0,210,1215,27,1
119,1.190241677,33.092000000,0,210,1215,27,1
120,1.200235850,33.092000000,0,210,1215,27,1
121,1.210235853,33.092000000,0,210,1215,27,1
122,1.220235806,33.092000000,0,210,1215,27,1
123,1.230238545,33.092000000,0,210,1215,27,1
124,1.240234080,33.092000000,0,210,1215,27,1
125,1.250238982,32.982000000,0,210,1215,27,1
126,1.260236972,32.982000000,0,210,1215,27,1
127,1.270240211,32.982000000,0,210,1215,27,1
128,1.280235145,32.982000000,0,210,1215,27,1
129,1.290237222,32.982000000,0,210,1215,27,1
130,1.300235623,32.982000000,0,210,1215,27,1
131,1.310238591,32.982000000,0,210,1215,27,1
132,1.320234056,32.982000000,0,210,1215,27,1
133,1.330236083,32.982000000,0,210,1215,27,1
134,1.340238441,32.982000000,0,210,1215,27,1
135,1.350234557,32.786000000,0,210,1215,27,1
136,1.360236584,32.786000000,0,210,1215,27,1
137,1.370234183,32.786000000,0,210,1215,27,1
138,1.380234336,32.786000000,0,210,1215,27,1
139,1.390237315,32.786000000,0,210,1215,27,1
140,1.400234744,32.786000000,0,210,1215,27,1
141,1.410234447,32.786000000,0,210,1215,27,1
142,1.420252384,32.786000000,0,210,1215,27,1
143,1.430275851,32.786000000,0,210,1215,27,1
144,1.440237743,32.786000000,0,210,1215,27,1
145,1.450237566,33.099000000,0,210,1215,27,1
146,1.460235645,33.099000000,0,210,1215,27,1
147,1.470233374,33.099000000,0,210,1215,27,1
148,1.480247094,33.099000000,0,210,1215,27,1
149,1.490236607,33.099000000,0,210,1215,27,1
150,1.500249525,33.099000000,0,210,1215,27,1
151,1.510249448,33.099000000,0,210,1215,27,1
152,1.520261975,33.099000000,0,210,1215,27,1
153,1.530236901,33.099000000,0,210,1215,27,1
154,1.540238247,33.099000000,0,210,1215,27,1
155,1.550237288,33.099000000,0,210,1215,27,1
156,1.560235098,33.086000000,0,210,1215,27,1
157,1.570233608,33.086000000,0,210,1215,27,1
158,1.580235114,33.086000000,0,210,1215,27,1
159,1.590235017,33.086000000,0,210,1215,27,1
160,1.600234289,33.086000000,0,210,1215,27,1
161,1.610275359,33.086000000,0,210,1215,27,1
162,1.620235037,33.086000000,0,210,1215,27,1
163,1.630235912,33.086000000,0,210,1215,27,1
164,1.640265291,33.086000000,0,210,1215,27,1
165,1.650235308,32.981000000,0,210,1215,27,1
166,1.660237285,32.981000000,0,210,1215,27,1
167,1.670234613,32.981000000,0,210,1215,27,1
168,1.680234766,32.981000000,0,210,1215,27,1
169,1.690237084,32.981000000,0,210,1215,27,1
170,1.700236246,32.981000000,0,210,1215,27,1
171,1.710237221,32.981000000,0,210,1215,27,1
172,1.720235822,32.981000000,0,210,1215,27,1
173,1.730234302,32.981000000,0,210,1215,27,1
174,1.740236179,32.981000000,0,210,1215,27,1
175,1.750234579,32.904000000,0,210,1215,27,1
176,1.760234783,32.904000000,0,210,1215,27,1
177,1.770235768,32.904000000,0,210,1215,27,1
178,1.780233848,32.904000000,0,210,1215,27,1
179,1.790236877,32.904000000,0,210,1215,27,1
180,1.800236189,32.904000000,0,210,1215,27,1
181,1.810233788,32.904000000,0,210,1215,27,1
182,1.820233901,32.904000000,0,210,1215,27,1
183,1.830237882,32.904000000,0,210,1215,27,1
184,1.840234839,32.904000000,0,210,1215,27,1
185,1.850235995,33.092000000,0,210,1215,27,1
186,1.860266716,33.092000000,0,210,1215,27,1
187,1.870234549,33.092000000,0,210,1215,27,1
188,1.880236476,33.092000000,0,210,1215,27,1
189,1.890234415,33.092000000,0,210,1215,27,1
190,1.900234739,33.092000000,0,210,1215,27,1
191,1.910234692,33.092000000,0,210,1215,27,1
192,1.920233724,33.092000000,0,210,1215,27,1
193,1.930235481,33.092000000,0,210,1215,27,1
194,1.940234432,33.092000000,0,210,1215,27,1
195,1.950234816,33.092000000,0,210,1215,27,1
196,1.960237254,33.091000000,0,210,1215,27,1
197,1.970235634,33.091000000,0,210,1215,27,1
198,1.980237110,33.091000000,0,210,1215,27,1
199,1.990234358,33.091000000,0,210,1215,27,1
200,2.000238810,33.091000000,0,210,1215,27,1
201,2.010245636,33.091000000,0,210,1215,27,1
202,2.020237073,33.091000000,0,210,1215,27,1
203,2.030235463,33.091000000,0,210,1215,27,1
204,2.040233764,33.091000000,0,210,1215,27,1
205,2.050240039,33.091000000,0,210,1215,27,1
206,2.060240413,32.981000000,0,210,1215,27,1
207,2.070235978,32.981000000,0,210,1215,27,1
208,2.080233927,32.981000000,0,210,1215,27,1
209,2.090235443,32.981000000,0,210,1215,27,1
210,2.100238833,32.981000000,0,210,1215,27,1
211,2.110236171,32.981000000,0,210,1215,27,1
212,2.120238880,32.981000000,0,210,1215,27,1
213,2.130236308,32.981000000,0,210,1215,27,1
214,2.140235851,32.981000000,0,210,1215,27,1
215,2.150235393,32.981000000,0,210,1215,27,1
216,2.160235526,32.981000000,0,210,1215,27,1
217,2.170234107,32.981000000,0,210,1215,27,1
218,2.180235703,32.981000000,0,210,1215,27,1
219,2.190240195,32.981000000,0,210,1215,27,1
220,2.200235540,32.981000000,0,210,1215,27,1
221,2.210235092,32.981000000,0,210,1215,27,1
222,2.220235456,32.981000000,0,210,1215,27,1
