sample_index,timestamp_s,power_w,util_pct,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
0,0.000159679,66.080000000,100,1410,1215,30,0
1,0.010190570,66.080000000,100,1410,1215,30,0
2,0.020189861,66.080000000,100,1410,1215,30,0
3,0.030189373,66.080000000,100,1410,1215,30,0
4,0.040189516,66.190000000,100,1410,1215,30,0
5,0.050188988,66.190000000,100,1410,1215,30,0
6,0.060189071,66.190000000,100,1410,1215,30,0
7,0.070188392,66.190000000,100,1410,1215,30,0
8,0.080188284,66.190000000,100,1410,1215,30,0
9,0.090187866,66.190000000,100,1410,1215,30,0
10,0.100189011,66.190000000,100,1410,1215,30,0
11,0.110187671,66.190000000,100,1410,1215,30,0
12,0.120188465,66.190000000,100,1410,1215,30,0
13,0.130188588,66.190000000,100,1410,1215,30,0
14,0.155675589,66.391000000,100,1410,1215,30,0
15,0.155680117,66.391000000,100,1410,1215,30,0
16,0.160189999,66.391000000,100,1410,1215,30,0
17,0.170190212,66.391000000,100,1410,1215,30,0
18,0.180189423,66.391000000,100,1410,1215,30,0
19,0.190188915,66.391000000,100,1410,1215,30,0
20,0.200190330,66.391000000,100,1410,1215,30,0
21,0.210189231,66.391000000,100,1410,1215,30,0
22,0.220190726,66.391000000,100,1410,1215,30,0
23,0.230189186,66.391000000,100,1410,1215,30,0
24,0.240188898,66.268000000,100,1410,1215,30,0
25,0.250189472,66.268000000,100,1410,1215,30,0
26,0.260188934,66.268000000,100,1410,1215,30,0
27,0.270189057,66.268000000,100,1410,1215,30,0
28,0.280190291,66.268000000,100,1410,1215,30,0
29,0.290188821,66.268000000,100,1410,1215,30,0
30,0.300188323,66.268000000,100,1410,1215,30,0
31,0.310189308,66.268000000,100,1410,1215,30,0
32,0.320189731,66.268000000,100,1410,1215,30,0
33,0.330188892,66.268000000,100,1410,1215,30,0
34,0.340190087,65.977000000,100,1410,1215,30,0
35,0.350188597,65.977000000,100,1410,1215,30,0
36,0.360189181,65.977000000,100,1410,1215,30,0
37,0.370190276,65.977000000,100,1410,1215,30,0
38,0.380190038,65.977000000,100,1410,1215,30,0
39,0.390188317,65.977000000,100,1410,1215,30,0
40,0.400189232,65.977000000,100,1410,1215,30,0
41,0.410188302,65.977000000,100,1410,1215,30,0
42,0.420189367,65.977000000,100,1410,1215,30,0
43,0.430188087,65.977000000,100,1410,1215,30,0
44,0.440191817,66.269000000,100,1410,1215,30,0
45,0.450189095,66.269000000,100,1410,1215,30,0
46,0.460192704,66.269000000,100,1410,1215,30,0
47,0.470189280,66.269000000,100,1410,1215,30,0
48,0.480189443,66.269000000,100,1410,1215,30,0
49,0.490189075,66.269000000,100,1410,1215,30,0
50,0.500187395,66.269000000,100,1410,1215,30,0
51,0.510189962,66.269000000,100,1410,1215,30,0
52,0.520189244,66.269000000,100,1410,1215,30,0
53,0.530189056,66.269000000,100,1410,1215,30,0
54,0.540190401,66.348000000,100,1410,1215,30,0
55,0.550189252,66.348000000,100,1410,1215,30,0
56,0.560193122,66.348000000,100,1410,1215,30,0
57,0.570190600,66.348000000,100,1410,1215,30,0
58,0.580189310,66.348000000,100,1410,1215,30,0
59,0.590190164,66.348000000,100,1410,1215,30,0
60,0.600189976,66.348000000,100,1410,1215,30,0
61,0.610188767,66.348000000,100,1410,1215,30,0
62,0.620189350,66.348000000,100,1410,1215,30,0
63,0.630189814,66.348000000,100,1410,1215,30,0
64,0.640190879,66.178000000,100,1410,1215,30,0
65,0.650189258,66.178000000,100,1410,1215,30,0
66,0.660189321,66.178000000,100,1410,1215,30,0
67,0.670193552,66.178000000,100,1410,1215,30,0
68,0.680189336,66.178000000,100,1410,1215,30,0
69,0.690189129,66.178000000,100,1410,1215,30,0
70,0.700190354,66.178000000,100,1410,1215,30,0
71,0.710193763,66.178000000,100,1410,1215,30,0
72,0.720189477,66.178000000,100,1410,1215,30,0
73,0.730189680,66.178000000,100,1410,1215,30,0
74,0.740190815,66.171000000,100,1410,1215,30,0
75,0.750194114,66.171000000,100,1410,1215,30,0
76,0.760189338,66.171000000,100,1410,1215,30,0
77,0.770189190,66.171000000,100,1410,1215,30,0
78,0.780189083,66.171000000,100,1410,1215,30,0
79,0.790189807,66.171000000,100,1410,1215,30,0
80,0.800188978,66.171000000,100,1410,1215,30,0
81,0.810194100,66.171000000,100,1410,1215,30,0
82,0.820189584,66.171000000,100,1410,1215,30,0
83,0.830192051,66.171000000,100,1410,1215,30,0
84,0.840190010,66.287000000,100,1410,1215,30,0
